gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
LOC727796	-0.0568415591	6.4024840138	-1.8608860321	0.063217824	0.1306110671	-5.4176584306
LOC727797	-0.172437035	6.7801157416	-3.1866292758	0.0015093355	0.0068054819	-2.1225592555
LOC727803	0.8432112384	8.8831143456	7.1168795008	2.96597125826441e-12	9.57524186596627e-11	17.1186919952
LOC727804	-0.0918371117	6.4310108086	-2.6242714052	0.0088902639	0.0284212844	-3.7273985044
LOC727805	0.167945651	6.3937507344	4.328055987	1.74487163433576e-05	0.0001555237	2.0516401072
LOC727808	0.0282631573	13.1980178352	0.258624784	0.7960077648	0.8579387941	-7.1030961147
LOC727811	-0.0774755341	6.2759846482	-1.90651556	0.1390752283	0.0231878562	-5.0153411957
LOC727815	0.0946673874	6.3836627176	2.5939836953	0.0187649012	0.0091484896	-3.6916415615
LOC727818	-0.2756701606	6.8747972893	-3.3763292176	0.0007789868	0.0039430204	-1.5132663934
LOC727820	0.3315413608	6.7461301642	6.1113426742	1.71526084480056e-09	3.65749367768738e-08	10.9264787301
LOC727821	-0.104771041	7.5632867811	-0.5311722816	0.6112288725	0.5340378877	-6.9526504585
LOC727825	-0.0581671016	7.0747981329	-1.2192440185	0.2231999623	0.3408217457	-6.3974251303
LOC727826	-0.3567183949	8.3057422027	-2.6444710715	0.0083821802	0.0271258121	-3.6750034638
LOC727827	-0.0155715474	6.3580909084	-0.5184735685	0.6043067845	0.7080693947	-7.0026284512
LOC727828	-0.0163486267	6.4285958672	-0.6100289507	0.2227337917	0.0929199212	-5.9180628057
LOC727831	0.0236599009	6.4875320476	0.737941625	0.4608199315	0.5824885477	-6.8654861575
LOC727832	0.0612837962	6.4521625152	1.5660908078	0.2008677516	0.0636916265	-5.6895855055
LOC727833	-0.0334041141	6.3914885696	-1.0399514432	0.3011446317	0.3764643211	-6.5936947392
LOC727834	0.057093319	6.2345470901	1.9546547701	0.0510580556	0.1109320796	-5.2406137173
LOC727836	0.0150894428	6.2889310558	0.4955009053	0.6204163727	0.7212485404	-7.014216415
LOC727837	0.0723824752	6.3714312713	2.2320166666	0.0259585762	0.0657681318	-4.666668936
LOC727838	-0.0084061446	6.2787733131	-0.1422431299	0.3589191929	0.4085145599	-6.6986119505
LOC727839	0.0169115447	6.3251139137	0.5452085295	0.5966065982	0.5555091684	-6.9594694289
LOC727842	0.0121344404	6.3111456157	0.400032794	0.6892656081	0.7770360879	-7.0567513809
LOC727844	0.0244884758	6.3404578401	0.8430379215	0.3995216341	0.5252263283	-6.7828766384
LOC727846	-0.0150308963	6.431276012	-0.4779008946	0.6328836409	0.731421338	-7.0227393193
LOC727847	0.0205115008	6.3125638512	0.7015517937	0.4832132956	0.6026258757	-6.8915345283
LOC727848	0.0924364627	6.9369012145	1.4439866832	0.1921860805	0.1205424456	-5.9942078965
LOC727849	0.0654379211	6.5539064569	1.5577113115	0.2879832318	0.034474976	-5.4575322884
LOC727851	0.0101775635	6.3952521876	0.2968836972	0.7130592149	0.6138686382	-7.0189925319
LOC727855	0.0212316145	6.3660218484	0.6615776506	0.5084796261	0.6254492739	-6.9186329187
LOC727857	0.0157542498	6.2529270755	0.5185495882	0.6042537891	0.7080358915	-7.0025892341
LOC727858	0.0074359666	6.3181366217	0.2544467045	0.7992320613	0.8604437895	-7.1041628428
LOC727860	0.0324835316	6.2878757443	1.1140068112	0.2656937146	0.3879128233	-6.5193651322
LOC727863	0.0106191689	6.2534527023	0.3542650827	0.7232567162	0.8034654709	-7.0739284394
LOC727865	-0.4065254405	10.6919688198	-2.9134163638	0.0348639668	0.0005044338	-2.3658067448
LOC727866	-0.2149058038	7.0044302687	-3.8921521203	0.0001097565	0.0007588798	0.3145548609
LOC727868	-0.1148702785	6.4472718548	-3.0562787458	0.0023341792	0.0097304166	-2.5214459303
LOC727869	-0.0696930331	6.4850812975	-1.7437861557	0.227842685	0.0221891748	-5.1495233037
LOC727872	-0.0122150377	6.4252988546	-0.4181172188	0.6760014215	0.7664535275	-7.0493898599
LOC727874	-0.0543015785	6.2752838137	-1.87162331	0.0617138617	0.1282756414	-5.3978216334
