gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
FBXO41	-0.027374852	6.4558286166	-0.9922523084	0.3214436099	0.4003024986	-7.0568689908
FBXO42	-0.4451676425	7.0640947434	-9.1431188617	7.6720908431773e-19	2.71025073009803e-17	31.71957192
FBXO43	-0.0112063004	6.4183265969	-0.164865973	0.0001104634	0.0001791449	0.1223325078
FBXO44	-0.0555727625	6.4057589001	-1.759211124	0.3316678664	0.0008543582	-4.8366702003
FBXO45	0.3177870944	6.7552820476	8.617593416	5.18345228144484e-17	1.54362947481035e-15	27.5642223426
FBXO46	-0.1055542215	7.2149895702	-2.2224884026	0.0580924677	0.0102308074	-4.897217229
FBXO47	0.0649502514	6.3642916172	2.4179427671	0.0158824199	0.030763721	-4.6415299089
FBXO48	0.0768100394	6.4639212083	2.7709353456	0.0064495338	0.0080199001	-3.7222921342
FBXO5	0.0176157283	7.3303126342	0.7309289601	0.5335236964	0.1810632387	-6.9596150894
FBXO6	0.2544190455	7.3734808768	2.7057120764	0.0069945233	0.0151145323	-3.912592568
FBXO7	-0.0826453423	7.9559864687	-1.8554293954	0.3449283902	0.0001086445	-4.4370093148
FBXO8	-0.0946817106	8.5930741271	-1.5763998261	0.1154201283	0.1689049753	-6.3095242168
FBXO9	-0.0980224962	6.5043066314	-1.8504409524	0.2240162293	4.70898202866669e-06	-0.6997601697
FBXW10	0.0226292432	6.4661743256	0.8169641421	0.4142481827	0.4944242373	-7.2150461093
FBXW11	-0.0512919594	7.5471080749	-0.8201783108	0.2466160058	0.0002855383	-3.9508507245
FBXW12	0.0452439896	6.4053639888	1.6204820026	0.1056136689	0.1567347198	-6.2394215281
FBXW2	-0.2757979772	7.3943459207	-4.9737546726	0.0014108923	1.34432209113147e-10	6.3123159204
FBXW4	-0.3027008144	8.3363043192	-4.0224435131	6.43633579449798e-05	0.0002428072	0.4330353116
FBXW5	-0.089905944	7.023648677	-1.1556687254	0.1151835858	9.0102092863782e-10	0.4815713075
FBXW7	0.2577861844	6.9774108693	4.4796320709	0.000231304	4.56447861295655e-09	2.916351211
FBXW8	-0.0613956888	6.7367818202	-1.9280529916	0.1444306273	7.08581080222532e-05	-3.4863024707
FBXW9	0.0455483207	7.7524726957	0.7037395321	0.4818469566	0.5598001084	-7.300957284
FCAMR	0.0520462307	6.4225445648	1.899488486	0.1018984184	0.0260337093	-5.5805272997
FCAR	-0.355597641	7.0160779452	-2.9441661435	0.0099304492	1.37451385078493e-13	4.94948499
FCER1A	0.0096218803	6.4472490167	0.3914635511	0.6955828929	0.7543067368	-7.471671451
FCER1G	0.1030529921	6.2465213583	2.1157908996	0.0347421767	0.0606347842	-5.320250786
FCER2	-0.0764264673	6.1579457714	-2.8834620768	0.0040633341	0.0093965595	-3.4223562194
FCF1	0.9073719623	7.1257181936	17.9720992641	2.2900809085331e-56	1.87787823904036e-59	123.3596631404
FCGBP	0.0870916832	6.3483499855	1.7156927054	0.0883453471	6.58579450415536e-07	-2.0174440231
FCGR1A	-0.0205569178	6.1722931321	-0.9156960086	0.3601658714	0.4399470924	-7.1297124986
