gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
C6orf134	-0.0566492579	6.4778290212	-3.4789480494	0.3287695371	3.28310038415816e-13	3.4585113993
C6orf136	-0.0124729427	8.2443055344	-0.4537360597	0.6501438826	0.7106608743	-7.2938750599
C6orf138	-0.1127968445	6.9125048462	-5.3406782466	1.21286497619699e-07	7.15166363180524e-07	6.5776990376
C6orf140	-0.0042030188	6.5011575154	-0.4284281638	0.6684566356	0.726675613	-7.3050081249
C6orf141	0.1410925458	6.557106233	4.8715309395	1.33906011396904e-06	6.45754015140612e-06	4.2650366798
C6orf142	-0.0237792796	6.2338843026	-1.075757003	0.2823655728	0.3547955086	-6.8197505915
C6orf145	0.138195909	7.2648048651	3.9421712362	8.79358170082495e-05	0.0002853715	0.2791812317
C6orf146	-0.0066962804	6.1634616476	-0.7305278174	0.4652849964	0.5394573892	-7.1304517538
C6orf148	0.0930273175	6.6561917941	5.2522081808	1.93584861776054e-07	1.10345240243119e-06	6.1264035355
C6orf15	0.0076502831	6.3692518974	0.6079175142	0.5434175415	0.6138906432	-7.2122595426
C6orf150	0.2678469753	6.2536676487	13.232756289	3.08139680941221e-36	3.45694662007953e-34	71.4344674847
C6orf153	0.0162145045	9.8549223411	0.4900722567	0.6242193373	0.6874061786	-7.2767742429
C6orf154	-0.0191563405	6.3398216015	-1.5270799453	0.1271428548	0.1794866299	-6.2351133928
C6orf155	0.0524324599	6.5373175213	3.4367977098	0.0006195183	0.0016411728	-1.5489909156
C6orf156	0.0111784539	6.1224902453	1.1351183897	0.2566712554	0.3268269568	-6.7543910963
C6orf160	-0.0545800625	10.6670705669	-0.7817265157	0.4346103917	0.5100276645	-7.0918609371
C6orf162	-0.1645269459	6.6536475834	-9.6395941501	2.52752593972264e-20	3.45934145285391e-20	36.4217640039
C6orf163	-0.0144390294	6.6052026315	-1.2651828301	0.206180212	0.2708638627	-6.5989584881
C6orf165	0.0097137948	6.351771599	0.7956926499	0.364614364	0.0008295876	-5.0525997167
C6orf167	0.0072381972	6.5191982453	0.5534473296	0.3296606613	0.1371184001	-6.6110354245
C6orf168	-0.1485538438	6.5300537158	-6.850269787	1.48656312633449e-11	1.64893994880001e-10	15.3360822291
C6orf170	-0.0092363702	7.1512852375	-0.3897662964	0.700670284	0.6474430944	-7.307370778
C6orf173	0.5061901241	7.5075083409	7.7598441635	2.63936489302987e-14	4.08988987082328e-13	21.5406758216
C6orf174	-0.0284321098	6.2093147698	-2.8676471713	0.0042458811	0.0091082895	-3.3161639606
C6orf176	-0.0088557992	6.4795143489	-0.6596647011	0.062166403	0.0089183133	-4.7432603623
C6orf182	0.0202297831	6.5375334922	1.6651760462	0.0962755812	0.1410288117	-6.0159414286
C6orf184	0.0066416792	6.3604415245	0.6155192869	0.5411105973	0.5182180953	-7.2010042488
C6orf185	0.031600079	6.3093327968	2.8611482586	0.0043329723	0.0092740569	-3.3345420674
C6orf186	-0.011462796	6.4032924411	-1.0494363837	0.2942994289	0.3676485486	-6.8476109497
C6orf188	0.1862741106	6.7152487271	6.7165987885	3.5643189320281e-11	3.76108908576003e-10	14.481678036
C6orf190	-0.0122449723	6.1668367559	-0.985681148	0.3245924921	0.3992403124	-6.912243134
C6orf191	0.0152341335	6.5160137701	1.0768419329	0.2818808187	0.3543089458	-6.8185874278
C6orf192	0.1975215493	7.4102026813	4.3974547256	1.24580351891289e-05	4.88830655493684e-05	2.1318326808
C6orf195	-0.0123168524	6.2075764892	-1.2871086755	0.1984347777	0.2621834835	-6.5711035188
C6orf199	-0.0281769073	6.3382147383	-2.3985910936	0.016690052	0.0304758311	-4.5373719471
C6orf201	-0.0088294906	6.196700818	-0.8747618125	0.3819703546	0.4574365936	-7.0150589811
C6orf203	0.0295987988	7.1712943468	1.1267413376	0.2601952457	0.3307037391	-6.7638266246
C6orf204	-0.2179579636	6.8332293767	-5.9520435065	2.63808130742441e-08	2.35320935451204e-09	9.9770898423
C6orf205	0.0367244004	6.3258568388	3.3965750869	0.0030364184	0.000199479	-1.4873502712
C6orf208	-0.0234946056	6.3304417581	-1.9401435462	0.3551291912	0.0012963029	-4.3167498569
C6orf211	-0.0050143489	7.0973088552	-0.2246382749	0.2981147099	0.2603390168	-6.8034803228
C6orf218	0.0102199219	6.54901825	0.9521425429	0.3413169813	0.4162769805	-6.9446216243
C6orf221	-0.0627780537	6.4109611214	-4.8721780073	1.33480903725848e-06	6.43901191285419e-06	4.268089073
C6orf222	0.018387672	6.4658050601	1.6639402666	0.0965223982	0.1413333764	-6.0179862499
C6orf223	0.003425431	6.3485834826	0.3277756137	0.7431684908	0.791945106	-7.3429658468
C6orf224	0.0295973521	6.4152832748	2.5032950344	0.0125057963	0.0236340134	-4.2833169653
C6orf225	-0.0750191895	6.6091473973	-2.9049327158	0.0284880995	0.0003298755	-2.7293275009
C6orf25	0.0005003471	6.3782638989	0.3302833442	0.0451813202	0.0028276041	-3.6841356758
C6orf26	-0.1255640553	6.4660066341	-6.9781473248	6.35203924087912e-12	7.42606845014757e-11	16.1674191603
C6orf27	-0.0345942833	6.5353623995	-2.1473884104	0.0320671464	0.0540220928	-5.1032311391
C6orf35	-0.0277823891	6.384254378	-1.8709840674	0.0016703278	4.54204165850749e-10	5.5931125483
C6orf47	-0.2224860621	8.3050413711	-8.4713822119	1.18442859556297e-16	2.35742718065885e-15	26.854100833
C6orf48	-0.0950928256	9.0257677137	-1.9233944353	0.0184992101	2.42245242393388e-09	1.0476218323
C6orf52	-0.1683964927	6.7211764145	-6.5823886375	8.45045922133353e-11	8.43634832979928e-10	13.6389391223
C6orf54	-0.0503596876	6.4904228167	-3.4516342846	0.0005869188	0.001564377	-1.4987739497
C6orf57	0.0722048171	7.4534042865	3.08077813	0.0021364586	0.0049507936	-2.6908647155
C6orf58	0.0351493646	6.4439293445	2.475624779	0.0135097256	0.0253095018	-4.3514953304
C6orf59	-0.0395798194	6.4180665825	-2.6556732355	0.0083023175	0.0128662478	-3.8909937584
C6orf61	-0.0289535376	6.9169715535	-1.5745932977	0.1157521823	0.1653987815	-6.1618311781
C6orf62	0.0972118801	8.1100117695	3.0261490779	0.0041363399	0.0020281792	-2.7980397769
C6orf64	0.001781588	7.6310125131	0.0650929761	0.948116501	0.9596779062	-7.394437111
C6orf66	0.1008939438	7.3892194741	3.4186735401	0.0007056051	0.0012356617	-1.6048975129
C6orf68	0.0194614473	6.2811360173	1.8588695845	0.0634186638	0.0982138799	-5.6768220689
C6orf70	-0.164549376	7.8217090516	-6.5859851734	8.25881905698324e-11	8.2624927532382e-10	13.6613243403
C6orf72	-0.0783248248	8.4167284169	-2.0635891155	0.0393840101	0.0647007368	-5.2782525818
C6orf78	0.0599542037	6.4922754894	4.2174955976	2.75743180710216e-05	0.0001002743	1.3764221698
C6orf79	0.0311453593	6.3897676108	2.4139943017	0.0160059693	0.0293640683	-4.5006680841
C6orf81	-0.1059886567	6.6275871633	-5.856658467	6.93532477725545e-09	5.10937957502031e-08	9.3485172079
C6orf85	0.1351706693	7.1189376457	1.9176395842	0.0555183439	0.0873918184	-5.5666192438
