gene,fake
AHRR,Gene 461
AHSA1,Gene 462
AHSA2,Gene 463
AHSG,Gene 464
AHSP,Gene 465
AICDA,Gene 466
AIDA,Gene 467
AIF1,Gene 468
AIF1L,Gene 469
AIFM1,Gene 470
AIFM2,Gene 471
AIFM3,Gene 472
AIG1,Gene 473
AIM1,Gene 474
AIM1L,Gene 475
AIM2,Gene 476
AIMP2,Gene 477
AIP,Gene 478
AIPL1,Gene 479
AIRE,Gene 480
AJAP1,Gene 481
AK1,Gene 482
AK2,Gene 483
AK2P2,Gene 484
AK3,Gene 485
AK3L1,Gene 486
AK5,Gene 487
AK7,Gene 488
AKAP1,Gene 489
AKAP10,Gene 490
AKAP11,Gene 491
AKAP12,Gene 492
AKAP13,Gene 493
AKAP14,Gene 494
AKAP2,Gene 495
AKAP3,Gene 496
AKAP4,Gene 497
AKAP5,Gene 498
AKAP6,Gene 499
AKAP7,Gene 500
AKAP8,Gene 501
AKAP8L,Gene 502
AKAP9,Gene 503
AKIRIN1,Gene 504
AKIRIN2,Gene 505
AKNA,Gene 506
AKNAD1,Gene 507
AKR1A1,Gene 508
AKR1B1,Gene 509
AKR1B10,Gene 510
AKR1B15,Gene 511
AKR1C1,Gene 512
AKR1C2,Gene 513
AKR1C3,Gene 514
AKR1C4,Gene 515
AKR1CL1,Gene 516
AKR1D1,Gene 517
AKR1E2,Gene 518
AKR7A2,Gene 519
AKR7A3,Gene 520
AKR7L,Gene 521
AKT1,Gene 522
AKT1S1,Gene 523
AKT2,Gene 524
AKT3,Gene 525
AKTIP,Gene 526
ALAD,Gene 527
ALAS1,Gene 528
ALAS2,Gene 529
ALB,Gene 530
ALCAM,Gene 531
ALDH16A1,Gene 532
ALDH18A1,Gene 533
ALDH1A1,Gene 534
ALDH1A2,Gene 535
ALDH1A3,Gene 536
ALDH1B1,Gene 537
ALDH1L1,Gene 538
ALDH1L2,Gene 539
ALDH2,Gene 540
ALDH3A1,Gene 541
ALDH3A2,Gene 542
ALDH3B1,Gene 543
ALDH3B2,Gene 544
ALDH4A1,Gene 545
ALDH5A1,Gene 546
ALDH6A1,Gene 547
ALDH7A1,Gene 548
ALDH8A1,Gene 549
ALDH9A1,Gene 550
ALDOA,Gene 551
