gene,fake
LOC646246,Gene 16312
LOC646249,Gene 16313
LOC646254,Gene 16314
LOC646256,Gene 16315
LOC646257,Gene 16316
LOC646260,Gene 16317
LOC646262,Gene 16318
LOC646266,Gene 16319
LOC646268,Gene 16320
LOC646269,Gene 16321
LOC646272,Gene 16322
LOC646276,Gene 16323
LOC646278,Gene 16324
LOC646279,Gene 16325
LOC646280,Gene 16326
LOC646282,Gene 16327
LOC646283,Gene 16328
LOC646294,Gene 16329
LOC646296,Gene 16330
LOC646299,Gene 16331
LOC646300,Gene 16332
LOC646301,Gene 16333
LOC646302,Gene 16334
LOC646303,Gene 16335
LOC646304,Gene 16336
LOC646307,Gene 16337
LOC646309,Gene 16338
LOC646310,Gene 16339
LOC646312,Gene 16340
LOC646316,Gene 16341
LOC646317,Gene 16342
LOC646320,Gene 16343
LOC646324,Gene 16344
LOC646330,Gene 16345
LOC646331,Gene 16346
LOC646332,Gene 16347
LOC646334,Gene 16348
LOC646335,Gene 16349
LOC646342,Gene 16350
LOC646344,Gene 16351
LOC646345,Gene 16352
LOC646346,Gene 16353
LOC646347,Gene 16354
LOC646348,Gene 16355
LOC646350,Gene 16356
LOC646353,Gene 16357
LOC646357,Gene 16358
LOC646358,Gene 16359
LOC646359,Gene 16360
LOC646360,Gene 16361
LOC646361,Gene 16362
LOC646363,Gene 16363
LOC646365,Gene 16364
LOC646366,Gene 16365
LOC646372,Gene 16366
LOC646373,Gene 16367
LOC646374,Gene 16368
LOC646376,Gene 16369
LOC646377,Gene 16370
LOC646381,Gene 16371
LOC646383,Gene 16372
LOC646388,Gene 16373
LOC646396,Gene 16374
LOC646399,Gene 16375
LOC646400,Gene 16376
LOC646401,Gene 16377
LOC646403,Gene 16378
LOC646405,Gene 16379
LOC646407,Gene 16380
LOC646422,Gene 16381
LOC646424,Gene 16382
LOC646426,Gene 16383
LOC646428,Gene 16384
LOC646429,Gene 16385
LOC646431,Gene 16386
LOC646434,Gene 16387
LOC646437,Gene 16388
LOC646438,Gene 16389
LOC646439,Gene 16390
LOC646442,Gene 16391
LOC646443,Gene 16392
LOC646444,Gene 16393
LOC646445,Gene 16394
LOC646446,Gene 16395
LOC646447,Gene 16396
LOC646448,Gene 16397
LOC646449,Gene 16398
LOC646452,Gene 16399
LOC646456,Gene 16400
LOC646458,Gene 16401
LOC646461,Gene 16402
LOC646463,Gene 16403
LOC646470,Gene 16404
LOC646471,Gene 16405
LOC646473,Gene 16406
LOC646476,Gene 16407
LOC646481,Gene 16408
LOC646482,Gene 16409
LOC646483,Gene 16410
LOC646484,Gene 16411
LOC646486,Gene 16412
LOC646491,Gene 16413
LOC646492,Gene 16414
LOC646493,Gene 16415
LOC646494,Gene 16416
LOC646496,Gene 16417
LOC646498,Gene 16418
LOC646501,Gene 16419
LOC646503,Gene 16420
LOC646507,Gene 16421
LOC646508,Gene 16422
LOC646509,Gene 16423
LOC646512,Gene 16424
LOC646513,Gene 16425
LOC646515,Gene 16426
LOC646519,Gene 16427
LOC646521,Gene 16428
LOC646527,Gene 16429
LOC646529,Gene 16430
LOC646531,Gene 16431
LOC646533,Gene 16432
LOC646537,Gene 16433
LOC646543,Gene 16434
LOC646547,Gene 16435
LOC646548,Gene 16436
LOC646549,Gene 16437
LOC646550,Gene 16438
LOC646552,Gene 16439
LOC646554,Gene 16440
LOC646560,Gene 16441
LOC646561,Gene 16442
LOC646562,Gene 16443
LOC646566,Gene 16444
LOC646567,Gene 16445
LOC646568,Gene 16446
LOC646569,Gene 16447
LOC646570,Gene 16448
LOC646572,Gene 16449
LOC646573,Gene 16450
LOC646574,Gene 16451
LOC646575,Gene 16452
LOC646576,Gene 16453
LOC646580,Gene 16454
LOC646581,Gene 16455
LOC646582,Gene 16456
LOC646584,Gene 16457
LOC646585,Gene 16458
LOC646588,Gene 16459
LOC646589,Gene 16460
LOC646590,Gene 16461
LOC646596,Gene 16462
LOC646604,Gene 16463
LOC646607,Gene 16464
LOC646609,Gene 16465
LOC646615,Gene 16466
LOC646617,Gene 16467
LOC646625,Gene 16468
LOC646626,Gene 16469
LOC646627,Gene 16470
LOC646628,Gene 16471
LOC646629,Gene 16472
LOC646630,Gene 16473
LOC646631,Gene 16474
LOC646632,Gene 16475
LOC646638,Gene 16476
LOC646644,Gene 16477
LOC646649,Gene 16478
LOC646653,Gene 16479
LOC646654,Gene 16480
LOC646663,Gene 16481
LOC646664,Gene 16482
LOC646665,Gene 16483
LOC646667,Gene 16484
LOC646670,Gene 16485
LOC646672,Gene 16486
LOC646674,Gene 16487
LOC646675,Gene 16488
LOC646676,Gene 16489
LOC646677,Gene 16490
LOC646680,Gene 16491
LOC646686,Gene 16492
LOC646688,Gene 16493
LOC646691,Gene 16494
LOC646697,Gene 16495
LOC646698,Gene 16496
LOC646699,Gene 16497
LOC646700,Gene 16498
LOC646703,Gene 16499
LOC646706,Gene 16500
LOC646708,Gene 16501
LOC646709,Gene 16502
LOC646713,Gene 16503
LOC646714,Gene 16504
LOC646716,Gene 16505
LOC646717,Gene 16506
LOC646719,Gene 16507
LOC646720,Gene 16508
LOC646723,Gene 16509
LOC646730,Gene 16510
LOC646731,Gene 16511
LOC646734,Gene 16512
LOC646740,Gene 16513
LOC646743,Gene 16514
LOC646746,Gene 16515
LOC646748,Gene 16516
LOC646750,Gene 16517
LOC646753,Gene 16518
LOC646754,Gene 16519
LOC646762,Gene 16520
LOC646764,Gene 16521
LOC646766,Gene 16522
LOC646769,Gene 16523
LOC646772,Gene 16524
LOC646774,Gene 16525
LOC646778,Gene 16526
LOC646779,Gene 16527
LOC646780,Gene 16528
LOC646781,Gene 16529
LOC646782,Gene 16530
LOC646783,Gene 16531
LOC646784,Gene 16532
LOC646785,Gene 16533
LOC646786,Gene 16534
LOC646791,Gene 16535
LOC646793,Gene 16536
LOC646795,Gene 16537
LOC646796,Gene 16538
LOC646799,Gene 16539
LOC646801,Gene 16540
LOC646802,Gene 16541
LOC646803,Gene 16542
LOC646804,Gene 16543
LOC646805,Gene 16544
LOC646806,Gene 16545
LOC646808,Gene 16546
LOC646812,Gene 16547
LOC646813,Gene 16548
LOC646817,Gene 16549
LOC646818,Gene 16550
LOC646819,Gene 16551
LOC646821,Gene 16552
LOC646823,Gene 16553
LOC646825,Gene 16554
LOC646829,Gene 16555
LOC646835,Gene 16556
LOC646836,Gene 16557
LOC646841,Gene 16558
LOC646845,Gene 16559
LOC646848,Gene 16560
LOC646849,Gene 16561
LOC646851,Gene 16562
LOC646853,Gene 16563
LOC646855,Gene 16564
LOC646858,Gene 16565
LOC646861,Gene 16566
LOC646862,Gene 16567
LOC646863,Gene 16568
LOC646864,Gene 16569
LOC646867,Gene 16570
LOC646869,Gene 16571
LOC646870,Gene 16572
LOC646871,Gene 16573
LOC646879,Gene 16574
LOC646881,Gene 16575
LOC646882,Gene 16576
LOC646887,Gene 16577
LOC646888,Gene 16578
LOC646890,Gene 16579
LOC646891,Gene 16580
LOC646892,Gene 16581
LOC646895,Gene 16582
LOC646897,Gene 16583
LOC646900,Gene 16584
LOC646903,Gene 16585
LOC646905,Gene 16586
LOC646906,Gene 16587
LOC646908,Gene 16588
LOC646909,Gene 16589
LOC646914,Gene 16590
LOC646915,Gene 16591
LOC646916,Gene 16592
LOC646917,Gene 16593
LOC646918,Gene 16594
LOC646920,Gene 16595
LOC646926,Gene 16596
LOC646931,Gene 16597
LOC646932,Gene 16598
LOC646933,Gene 16599
LOC646934,Gene 16600
LOC646936,Gene 16601
LOC646938,Gene 16602
LOC646939,Gene 16603
LOC646942,Gene 16604
LOC646943,Gene 16605
LOC646946,Gene 16606
LOC646947,Gene 16607
LOC646949,Gene 16608
LOC646951,Gene 16609
LOC646956,Gene 16610
LOC646960,Gene 16611
LOC646966,Gene 16612
LOC646970,Gene 16613
LOC646971,Gene 16614
LOC646976,Gene 16615
LOC646981,Gene 16616
LOC646982,Gene 16617
LOC646990,Gene 16618
LOC646992,Gene 16619
LOC646993,Gene 16620
LOC646996,Gene 16621
LOC646997,Gene 16622
LOC646999,Gene 16623
LOC647000,Gene 16624
LOC647003,Gene 16625
LOC647006,Gene 16626
LOC647008,Gene 16627
LOC647009,Gene 16628
LOC647011,Gene 16629
LOC647012,Gene 16630
LOC647013,Gene 16631
LOC647015,Gene 16632
LOC647020,Gene 16633
LOC647022,Gene 16634
LOC647025,Gene 16635
LOC647028,Gene 16636
LOC647030,Gene 16637
LOC647031,Gene 16638
LOC647034,Gene 16639
LOC647035,Gene 16640
LOC647037,Gene 16641
LOC647038,Gene 16642
LOC647041,Gene 16643
LOC647042,Gene 16644
LOC647044,Gene 16645
LOC647046,Gene 16646
LOC647049,Gene 16647
LOC647050,Gene 16648
LOC647054,Gene 16649
LOC647055,Gene 16650
LOC647058,Gene 16651
LOC647060,Gene 16652
LOC647065,Gene 16653
LOC647070,Gene 16654
LOC647074,Gene 16655
LOC647079,Gene 16656
LOC647080,Gene 16657
LOC647081,Gene 16658
LOC647082,Gene 16659
LOC647083,Gene 16660
LOC647086,Gene 16661
LOC647089,Gene 16662
LOC647096,Gene 16663
LOC647099,Gene 16664
LOC647102,Gene 16665
LOC647103,Gene 16666
LOC647104,Gene 16667
LOC647107,Gene 16668
LOC647108,Gene 16669
LOC647121,Gene 16670
LOC647122,Gene 16671
LOC647123,Gene 16672
LOC647129,Gene 16673
LOC647130,Gene 16674
LOC647131,Gene 16675
LOC647134,Gene 16676
LOC647135,Gene 16677
LOC647138,Gene 16678
LOC647147,Gene 16679
LOC647149,Gene 16680
LOC647150,Gene 16681
LOC647154,Gene 16682
LOC647156,Gene 16683
LOC647157,Gene 16684
LOC647163,Gene 16685
LOC647166,Gene 16686
LOC647169,Gene 16687
LOC647171,Gene 16688
LOC647174,Gene 16689
LOC647176,Gene 16690
LOC647181,Gene 16691
LOC647187,Gene 16692
LOC647188,Gene 16693
LOC647190,Gene 16694
LOC647191,Gene 16695
LOC647193,Gene 16696
LOC647195,Gene 16697
LOC647197,Gene 16698
LOC647199,Gene 16699
LOC647200,Gene 16700
LOC647206,Gene 16701
LOC647208,Gene 16702
LOC647210,Gene 16703
LOC647211,Gene 16704
LOC647212,Gene 16705
LOC647213,Gene 16706
LOC647215,Gene 16707
LOC647219,Gene 16708
LOC647224,Gene 16709
LOC647225,Gene 16710
LOC647229,Gene 16711
LOC647234,Gene 16712
LOC647237,Gene 16713
LOC647243,Gene 16714
LOC647244,Gene 16715
LOC647246,Gene 16716
LOC647247,Gene 16717
LOC647250,Gene 16718
LOC647251,Gene 16719
LOC647254,Gene 16720
LOC647257,Gene 16721
LOC647262,Gene 16722
LOC647264,Gene 16723
LOC647269,Gene 16724
LOC647274,Gene 16725
LOC647275,Gene 16726
LOC647276,Gene 16727
LOC647279,Gene 16728
LOC647281,Gene 16729
LOC647283,Gene 16730
LOC647285,Gene 16731
LOC647286,Gene 16732
LOC647288,Gene 16733
LOC647295,Gene 16734
LOC647297,Gene 16735
LOC647302,Gene 16736
LOC647306,Gene 16737
LOC647307,Gene 16738
LOC647308,Gene 16739
LOC647309,Gene 16740
LOC647310,Gene 16741
LOC647311,Gene 16742
LOC647315,Gene 16743
LOC647322,Gene 16744
LOC647323,Gene 16745
LOC647326,Gene 16746
LOC647328,Gene 16747
LOC647331,Gene 16748
LOC647333,Gene 16749
LOC647334,Gene 16750
LOC647335,Gene 16751
LOC647336,Gene 16752
LOC647337,Gene 16753
LOC647339,Gene 16754
LOC647340,Gene 16755
LOC647341,Gene 16756
LOC647343,Gene 16757
LOC647344,Gene 16758
LOC647346,Gene 16759
LOC647347,Gene 16760
LOC647348,Gene 16761
LOC647349,Gene 16762
LOC647353,Gene 16763
LOC647357,Gene 16764
LOC647359,Gene 16765
LOC647360,Gene 16766
LOC647361,Gene 16767
LOC647363,Gene 16768
LOC647366,Gene 16769
LOC647370,Gene 16770
LOC647371,Gene 16771
LOC647374,Gene 16772
LOC647384,Gene 16773
LOC647389,Gene 16774
LOC647391,Gene 16775
LOC647400,Gene 16776
LOC647406,Gene 16777
LOC647407,Gene 16778
LOC647413,Gene 16779
LOC647415,Gene 16780
LOC647417,Gene 16781
LOC647435,Gene 16782
LOC647436,Gene 16783
LOC647439,Gene 16784
LOC647444,Gene 16785
LOC647447,Gene 16786
LOC647448,Gene 16787
LOC647450,Gene 16788
LOC647451,Gene 16789
LOC647456,Gene 16790
LOC647460,Gene 16791
LOC647461,Gene 16792
LOC647466,Gene 16793
LOC647468,Gene 16794
LOC647471,Gene 16795
LOC647474,Gene 16796
LOC647479,Gene 16797
LOC647480,Gene 16798
LOC647481,Gene 16799
LOC647485,Gene 16800
LOC647488,Gene 16801
LOC647493,Gene 16802
LOC647499,Gene 16803
LOC647500,Gene 16804
LOC647506,Gene 16805
LOC647509,Gene 16806
LOC647513,Gene 16807
LOC647515,Gene 16808
LOC647519,Gene 16809
LOC647520,Gene 16810
LOC647521,Gene 16811
LOC647527,Gene 16812
LOC647529,Gene 16813
LOC647531,Gene 16814
LOC647533,Gene 16815
LOC647534,Gene 16816
LOC647535,Gene 16817
LOC647536,Gene 16818
LOC647537,Gene 16819
LOC647540,Gene 16820
LOC647541,Gene 16821
LOC647542,Gene 16822
LOC647543,Gene 16823
LOC647544,Gene 16824
LOC647546,Gene 16825
LOC647551,Gene 16826
LOC647558,Gene 16827
LOC647566,Gene 16828
LOC647568,Gene 16829
LOC647570,Gene 16830
LOC647571,Gene 16831
LOC647579,Gene 16832
LOC647582,Gene 16833
LOC647584,Gene 16834
LOC647585,Gene 16835
LOC647588,Gene 16836
LOC647589,Gene 16837
LOC647591,Gene 16838
LOC647592,Gene 16839
LOC647595,Gene 16840
LOC647596,Gene 16841
LOC647597,Gene 16842
LOC647606,Gene 16843
LOC647621,Gene 16844
LOC647624,Gene 16845
LOC647625,Gene 16846
LOC647630,Gene 16847
LOC647634,Gene 16848
LOC647645,Gene 16849
LOC647646,Gene 16850
LOC647647,Gene 16851
LOC647648,Gene 16852
LOC647649,Gene 16853
LOC647650,Gene 16854
LOC647651,Gene 16855
LOC647654,Gene 16856
LOC647655,Gene 16857
LOC647656,Gene 16858
LOC647661,Gene 16859
LOC647666,Gene 16860
LOC647673,Gene 16861
LOC647677,Gene 16862
LOC647678,Gene 16863
LOC647680,Gene 16864
LOC647681,Gene 16865
LOC647683,Gene 16866
LOC647691,Gene 16867
LOC647696,Gene 16868
LOC647704,Gene 16869
LOC647706,Gene 16870
LOC647707,Gene 16871
LOC647710,Gene 16872
LOC647711,Gene 16873
LOC647713,Gene 16874
LOC647716,Gene 16875
LOC647718,Gene 16876
LOC647719,Gene 16877
LOC647723,Gene 16878
LOC647726,Gene 16879
LOC647741,Gene 16880
LOC647742,Gene 16881
LOC647747,Gene 16882
LOC647748,Gene 16883
LOC647753,Gene 16884
LOC647760,Gene 16885
LOC647766,Gene 16886
LOC647778,Gene 16887
LOC647783,Gene 16888
LOC647784,Gene 16889
LOC647785,Gene 16890
LOC647786,Gene 16891
LOC647788,Gene 16892
LOC647797,Gene 16893
LOC647802,Gene 16894
LOC647805,Gene 16895
LOC647806,Gene 16896
LOC647810,Gene 16897
LOC647816,Gene 16898
LOC647819,Gene 16899
LOC647827,Gene 16900
LOC647832,Gene 16901
LOC647834,Gene 16902
LOC647836,Gene 16903
LOC647839,Gene 16904
LOC647841,Gene 16905
LOC647843,Gene 16906
LOC647844,Gene 16907
LOC647849,Gene 16908
LOC647850,Gene 16909
LOC647854,Gene 16910
LOC647855,Gene 16911
LOC647856,Gene 16912
LOC647859,Gene 16913
LOC647862,Gene 16914
LOC647865,Gene 16915
LOC647868,Gene 16916
LOC647869,Gene 16917
LOC647873,Gene 16918
LOC647876,Gene 16919
LOC647881,Gene 16920
LOC647886,Gene 16921
LOC647888,Gene 16922
LOC647890,Gene 16923
LOC647891,Gene 16924
LOC647894,Gene 16925
LOC647904,Gene 16926
LOC647908,Gene 16927
LOC647910,Gene 16928
LOC647911,Gene 16929
LOC647919,Gene 16930
LOC647920,Gene 16931
LOC647928,Gene 16932
LOC647935,Gene 16933
LOC647941,Gene 16934
LOC647942,Gene 16935
LOC647943,Gene 16936
LOC647946,Gene 16937
LOC647947,Gene 16938
LOC647949,Gene 16939
LOC647954,Gene 16940
LOC647955,Gene 16941
LOC647958,Gene 16942
LOC647960,Gene 16943
LOC647961,Gene 16944
LOC647965,Gene 16945
LOC647970,Gene 16946
LOC647971,Gene 16947
LOC647972,Gene 16948
LOC647974,Gene 16949
LOC647979,Gene 16950
LOC647983,Gene 16951
LOC647987,Gene 16952
LOC647988,Gene 16953
LOC647989,Gene 16954
LOC647993,Gene 16955
LOC647995,Gene 16956
LOC647998,Gene 16957
LOC648000,Gene 16958
LOC648001,Gene 16959
LOC648003,Gene 16960
LOC648024,Gene 16961
LOC648025,Gene 16962
LOC648039,Gene 16963
LOC648040,Gene 16964
LOC648041,Gene 16965
LOC648044,Gene 16966
LOC648050,Gene 16967
LOC648054,Gene 16968
LOC648057,Gene 16969
LOC648058,Gene 16970
LOC648059,Gene 16971
LOC648064,Gene 16972
LOC648066,Gene 16973
LOC648069,Gene 16974
LOC648080,Gene 16975
LOC648085,Gene 16976
LOC648089,Gene 16977
LOC648099,Gene 16978
LOC648103,Gene 16979
LOC648111,Gene 16980
LOC648117,Gene 16981
LOC648123,Gene 16982
LOC648127,Gene 16983
LOC648130,Gene 16984
LOC648132,Gene 16985
LOC648133,Gene 16986
LOC648138,Gene 16987
LOC648145,Gene 16988
LOC648147,Gene 16989
LOC648148,Gene 16990
LOC648149,Gene 16991
LOC648152,Gene 16992
LOC648153,Gene 16993
LOC648154,Gene 16994
LOC648164,Gene 16995
LOC648167,Gene 16996
LOC648169,Gene 16997
LOC648170,Gene 16998
LOC648173,Gene 16999
LOC648174,Gene 17000
LOC648176,Gene 17001
LOC648189,Gene 17002
LOC648196,Gene 17003
LOC648200,Gene 17004
LOC648205,Gene 17005
LOC648210,Gene 17006
LOC648211,Gene 17007
LOC648213,Gene 17008
LOC648217,Gene 17009
LOC648218,Gene 17010
LOC648220,Gene 17011
LOC648222,Gene 17012
LOC648223,Gene 17013
LOC648226,Gene 17014
LOC648230,Gene 17015
LOC648237,Gene 17016
LOC648240,Gene 17017
LOC648245,Gene 17018
LOC648249,Gene 17019
LOC648251,Gene 17020
LOC648253,Gene 17021
LOC648256,Gene 17022
LOC648257,Gene 17023
LOC648262,Gene 17024
LOC648264,Gene 17025
LOC648271,Gene 17026
LOC648274,Gene 17027
LOC648277,Gene 17028
LOC648278,Gene 17029
LOC648279,Gene 17030
LOC648283,Gene 17031
LOC648287,Gene 17032
LOC648289,Gene 17033
LOC648293,Gene 17034
LOC648294,Gene 17035
LOC648302,Gene 17036
LOC648304,Gene 17037
LOC648309,Gene 17038
LOC648329,Gene 17039
LOC648342,Gene 17040
LOC648343,Gene 17041
LOC648346,Gene 17042
LOC648354,Gene 17043
LOC648358,Gene 17044
LOC648359,Gene 17045
LOC648362,Gene 17046
LOC648364,Gene 17047
LOC648365,Gene 17048
LOC648366,Gene 17049
LOC648370,Gene 17050
LOC648374,Gene 17051
LOC648377,Gene 17052
LOC648390,Gene 17053
LOC648392,Gene 17054
LOC648394,Gene 17055
LOC648398,Gene 17056
LOC648399,Gene 17057
LOC648403,Gene 17058
LOC648405,Gene 17059
LOC648408,Gene 17060
LOC648415,Gene 17061
LOC648424,Gene 17062
LOC648432,Gene 17063
LOC648434,Gene 17064
LOC648438,Gene 17065
LOC648447,Gene 17066
LOC648453,Gene 17067
LOC648454,Gene 17068
LOC648456,Gene 17069
LOC648460,Gene 17070
LOC648469,Gene 17071
LOC648470,Gene 17072
LOC648473,Gene 17073
LOC648476,Gene 17074
LOC648480,Gene 17075
LOC648481,Gene 17076
LOC648487,Gene 17077
LOC648489,Gene 17078
LOC648490,Gene 17079
LOC648494,Gene 17080
LOC648496,Gene 17081
LOC648500,Gene 17082
LOC648502,Gene 17083
LOC648509,Gene 17084
LOC648517,Gene 17085
LOC648521,Gene 17086
LOC648526,Gene 17087
LOC648527,Gene 17088
LOC648533,Gene 17089
LOC648541,Gene 17090
LOC648548,Gene 17091
LOC648552,Gene 17092
LOC648553,Gene 17093
LOC648556,Gene 17094
LOC648568,Gene 17095
LOC648569,Gene 17096
LOC648570,Gene 17097
LOC648576,Gene 17098
LOC648581,Gene 17099
LOC648585,Gene 17100
LOC648590,Gene 17101
LOC648596,Gene 17102
LOC648600,Gene 17103
LOC648603,Gene 17104
LOC648604,Gene 17105
LOC648605,Gene 17106
LOC648608,Gene 17107
LOC648609,Gene 17108
LOC648612,Gene 17109
LOC648615,Gene 17110
LOC648620,Gene 17111
LOC648622,Gene 17112
LOC648623,Gene 17113
LOC648625,Gene 17114
LOC648626,Gene 17115
LOC648628,Gene 17116
LOC648629,Gene 17117
LOC648638,Gene 17118
LOC648639,Gene 17119
LOC648645,Gene 17120
LOC648657,Gene 17121
LOC648659,Gene 17122
LOC648665,Gene 17123
LOC648667,Gene 17124
LOC648668,Gene 17125
LOC648672,Gene 17126
LOC648674,Gene 17127
LOC648680,Gene 17128
LOC648682,Gene 17129
LOC648684,Gene 17130
LOC648689,Gene 17131
LOC648691,Gene 17132
LOC648695,Gene 17133
LOC648699,Gene 17134
LOC648700,Gene 17135
LOC648704,Gene 17136
LOC648705,Gene 17137
LOC648706,Gene 17138
LOC648708,Gene 17139
LOC648710,Gene 17140
LOC648716,Gene 17141
LOC648718,Gene 17142
LOC648729,Gene 17143
LOC648732,Gene 17144
LOC648733,Gene 17145
LOC648735,Gene 17146
LOC648738,Gene 17147
LOC648740,Gene 17148
LOC648742,Gene 17149
LOC648744,Gene 17150
LOC648745,Gene 17151
LOC648748,Gene 17152
LOC648749,Gene 17153
LOC648751,Gene 17154
LOC648752,Gene 17155
LOC648754,Gene 17156
LOC648758,Gene 17157
LOC648761,Gene 17158
LOC648763,Gene 17159
LOC648771,Gene 17160
LOC648775,Gene 17161
LOC648790,Gene 17162
LOC648791,Gene 17163
LOC648792,Gene 17164
LOC648794,Gene 17165
LOC648795,Gene 17166
LOC648796,Gene 17167
LOC648801,Gene 17168
LOC648803,Gene 17169
LOC648809,Gene 17170
LOC648814,Gene 17171
LOC648815,Gene 17172
LOC648816,Gene 17173
LOC648822,Gene 17174
LOC648823,Gene 17175
LOC648827,Gene 17176
LOC648829,Gene 17177
LOC648830,Gene 17178
LOC648834,Gene 17179
LOC648840,Gene 17180
LOC648841,Gene 17181
LOC648846,Gene 17182
LOC648851,Gene 17183
LOC648852,Gene 17184
LOC648855,Gene 17185
LOC648859,Gene 17186
LOC648863,Gene 17187
LOC648868,Gene 17188
LOC648874,Gene 17189
LOC648876,Gene 17190
LOC648878,Gene 17191
LOC648879,Gene 17192
LOC648894,Gene 17193
LOC648897,Gene 17194
LOC648898,Gene 17195
LOC648900,Gene 17196
LOC648905,Gene 17197
LOC648907,Gene 17198
LOC648913,Gene 17199
LOC648921,Gene 17200
LOC648926,Gene 17201
LOC648927,Gene 17202
LOC648931,Gene 17203
LOC648934,Gene 17204
LOC648943,Gene 17205
LOC648955,Gene 17206
LOC648963,Gene 17207
LOC648966,Gene 17208
LOC648972,Gene 17209
LOC648974,Gene 17210
LOC648976,Gene 17211
LOC648979,Gene 17212
LOC648980,Gene 17213
LOC648981,Gene 17214
LOC648982,Gene 17215
LOC648984,Gene 17216
LOC648987,Gene 17217
LOC648993,Gene 17218
LOC648997,Gene 17219
LOC648998,Gene 17220
LOC648999,Gene 17221
LOC649009,Gene 17222
LOC649021,Gene 17223
LOC649023,Gene 17224
LOC649025,Gene 17225
LOC649030,Gene 17226
LOC649034,Gene 17227
LOC649037,Gene 17228
LOC649041,Gene 17229
LOC649044,Gene 17230
LOC649049,Gene 17231
LOC649057,Gene 17232
LOC649060,Gene 17233
LOC649063,Gene 17234
LOC649067,Gene 17235
LOC649071,Gene 17236
LOC649073,Gene 17237
LOC649075,Gene 17238
LOC649076,Gene 17239
LOC649086,Gene 17240
LOC649088,Gene 17241
LOC649091,Gene 17242
LOC649092,Gene 17243
LOC649094,Gene 17244
LOC649095,Gene 17245
LOC649101,Gene 17246
LOC649103,Gene 17247
LOC649107,Gene 17248
LOC649112,Gene 17249
LOC649120,Gene 17250
LOC649125,Gene 17251
LOC649128,Gene 17252
LOC649133,Gene 17253
LOC649136,Gene 17254
LOC649137,Gene 17255
LOC649139,Gene 17256
LOC649143,Gene 17257
LOC649144,Gene 17258
LOC649150,Gene 17259
LOC649151,Gene 17260
LOC649159,Gene 17261
LOC649160,Gene 17262
LOC649162,Gene 17263
LOC649167,Gene 17264
LOC649169,Gene 17265
LOC649174,Gene 17266
LOC649179,Gene 17267
LOC649181,Gene 17268
LOC649182,Gene 17269
LOC649184,Gene 17270
LOC649185,Gene 17271
LOC649186,Gene 17272
LOC649189,Gene 17273
LOC649191,Gene 17274
LOC649192,Gene 17275
LOC649198,Gene 17276
LOC649199,Gene 17277
LOC649200,Gene 17278
LOC649201,Gene 17279
LOC649203,Gene 17280
LOC649209,Gene 17281
LOC649210,Gene 17282
LOC649212,Gene 17283
LOC649214,Gene 17284
LOC649217,Gene 17285
LOC649227,Gene 17286
LOC649238,Gene 17287
LOC649242,Gene 17288
LOC649246,Gene 17289
LOC649248,Gene 17290
LOC649255,Gene 17291
LOC649260,Gene 17292
LOC649264,Gene 17293
LOC649270,Gene 17294
LOC649276,Gene 17295
LOC649279,Gene 17296
LOC649280,Gene 17297
LOC649282,Gene 17298
LOC649292,Gene 17299
LOC649293,Gene 17300
LOC649294,Gene 17301
LOC649296,Gene 17302
LOC649299,Gene 17303
LOC649305,Gene 17304
LOC649313,Gene 17305
LOC649317,Gene 17306
LOC649318,Gene 17307
LOC649320,Gene 17308
LOC649324,Gene 17309
LOC649327,Gene 17310
LOC649330,Gene 17311
LOC649337,Gene 17312
LOC649340,Gene 17313
LOC649341,Gene 17314
LOC649346,Gene 17315
LOC649350,Gene 17316
LOC649351,Gene 17317
LOC649352,Gene 17318
LOC649355,Gene 17319
LOC649360,Gene 17320
LOC649362,Gene 17321
LOC649365,Gene 17322
LOC649366,Gene 17323
LOC649371,Gene 17324
LOC649374,Gene 17325
LOC649379,Gene 17326
LOC649383,Gene 17327
LOC649385,Gene 17328
LOC649389,Gene 17329
LOC649395,Gene 17330
LOC649396,Gene 17331
LOC649397,Gene 17332
LOC649404,Gene 17333
LOC649406,Gene 17334
LOC649407,Gene 17335
LOC649414,Gene 17336
LOC649415,Gene 17337
LOC649416,Gene 17338
LOC649417,Gene 17339
LOC649422,Gene 17340
LOC649425,Gene 17341
LOC649428,Gene 17342
LOC649429,Gene 17343
LOC649431,Gene 17344
LOC649432,Gene 17345
LOC649436,Gene 17346
LOC649442,Gene 17347
LOC649443,Gene 17348
LOC649445,Gene 17349
LOC649447,Gene 17350
LOC649452,Gene 17351
LOC649455,Gene 17352
LOC649456,Gene 17353
LOC649458,Gene 17354
LOC649466,Gene 17355
LOC649469,Gene 17356
LOC649470,Gene 17357
LOC649477,Gene 17358
LOC649486,Gene 17359
LOC649489,Gene 17360
LOC649493,Gene 17361
LOC649495,Gene 17362
LOC649497,Gene 17363
LOC649500,Gene 17364
LOC649501,Gene 17365
LOC649503,Gene 17366
LOC649504,Gene 17367
LOC649509,Gene 17368
LOC649524,Gene 17369
LOC649527,Gene 17370
LOC649540,Gene 17371
LOC649542,Gene 17372
LOC649546,Gene 17373
LOC649548,Gene 17374
LOC649553,Gene 17375
LOC649555,Gene 17376
LOC649557,Gene 17377
LOC649563,Gene 17378
LOC649571,Gene 17379
LOC649578,Gene 17380
LOC649580,Gene 17381
LOC649583,Gene 17382
LOC649584,Gene 17383
LOC649587,Gene 17384
LOC649593,Gene 17385
LOC649596,Gene 17386
LOC649604,Gene 17387
