gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
TTC12	-0.0508019803	6.7195854928	-0.4459455875	0.457676618	0.4206689295	-7.3198566456
TTC13	-0.457322271	7.2051599454	-3.6739065915	0.0167508339	2.91366114188295e-06	-0.2592798659
TTC14	-0.9921090283	8.1316814762	-7.415873369	3.96785755299043e-13	6.14832153887289e-12	18.6063738882
TTC15	-0.5285587524	8.8006282888	-4.6238750158	4.56746581315308e-06	3.70281458669813e-05	2.7566438441
TTC16	0.0019703371	6.4668365843	0.0331195375	0.9735897004	0.9882361252	-7.7536896412
TTC17	-0.3442013417	8.7433634528	-2.5573816759	0.0107782233	0.0429990931	-4.5016787543
TTC18	-0.1106332519	6.5883040403	-1.6224829497	0.1051977673	0.2641886397	-6.4410436921
TTC19	0.8284688706	8.4488421158	7.1883903893	1.85316093963819e-12	3.25498863295096e-11	17.0745909967
TTC21A	-0.1844874978	6.3929504374	-2.9658539973	0.0031321237	0.014716806	-3.387408498
TTC21B	-0.0427913556	6.3570170434	-0.9090706109	0.3568557429	0.0917886261	-6.4852414177
TTC22	0.0215634334	6.4508766549	0.4174518162	0.6764894764	0.8379343437	-7.6671367086
TTC23	-0.529805165	7.9044430717	-5.5103387549	1.31363102566777e-06	8.42034057191354e-09	7.3270988737
TTC23L	0.0817731123	6.4671930047	1.5466661135	0.1224434375	0.2951478003	-6.5606783391
TTC24	-0.0642468534	6.3683996265	-1.2683861174	0.2051262558	0.4191355479	-6.9510403998
TTC25	0.3127857386	6.5711141842	3.1271197471	0.0018462132	0.0092010654	-2.9033394178
TTC26	-0.0797732156	7.2671193841	-0.9215149245	0.3571326424	0.5931284755	-7.3300242208
TTC27	0.5075211936	8.6280197234	4.1071865274	4.53056825522182e-05	0.000312841	0.5677650094
TTC28	-0.0329421529	6.5284488545	-0.6602753133	0.3996555844	0.2368176499	-7.0033360318
TTC29	0.1652186438	6.4270877933	2.4757270522	0.0135569803	0.0522616502	-4.7050817455
