,SYMBOL,logFC,adj.P.Val
458,AC004899.3,inf,1.0
459,AC004901.1,0.0,1.0
460,AC004906.3,0.0,1.0
461,AC004911.2,0.0,1.0
462,AC004917.1,0.0,1.0
463,AC004920.2,0.0,1.0
464,AC004920.3,0.0,1.0
465,AC004924.1,0.0,1.0
466,AC004938.5,0.0,1.0
467,AC004941.3,0.0,1.0
468,AC004941.5,-0.396324758698,1.0
469,AC004943.1,0.0,1.0
470,AC004945.1,0.0,1.0
471,AC004947.2,0.0,1.0
472,AC004951.5,inf,1.0
473,AC004951.6,inf,1.0
474,AC004967.7,0.0715795642102,1.0
475,AC004969.1,0.0,1.0
476,AC004980.1,0.0,1.0
477,AC004980.10,0.0,1.0
478,AC004980.11,0.0,1.0
479,AC004980.7,0.130107940944,1.0
480,AC004980.8,0.0,1.0
481,AC004980.9,0.0,1.0
482,AC004985.12,0.0,1.0
483,AC004987.10,0.0,1.0
484,AC004987.9,-0.0778010817892,1.0
485,AC004988.1,0.0,1.0
486,AC005000.1,0.0,1.0
487,AC005000.2,0.0,1.0
488,AC005003.1,0.113024499315,1.0
489,AC005007.3,0.0,1.0
490,AC005008.2,0.0,1.0
491,AC005008.3,0.0,1.0
492,AC005009.1,0.0,1.0
493,AC005009.2,0.0,1.0
494,AC005013.1,0.0,1.0
495,AC005013.5,0.0,1.0
496,AC005014.5,0.0275230095215,1.0
497,AC005017.2,0.0,1.0
498,AC005019.2,0.0,1.0
499,AC005019.3,0.0,1.0
500,AC005020.1,inf,1.0
501,AC005022.1,0.0,1.0
502,AC005027.3,0.0,1.0
503,AC005029.1,0.0,1.0
504,AC005033.6,0.0,1.0
505,AC005034.2,0.0,1.0
506,AC005034.3,0.251569465675,1.0
507,AC005037.1,0.0,1.0
508,AC005037.2,0.0,1.0
509,AC005037.3,inf,1.0
510,AC005037.4,0.0,1.0
511,AC005037.6,0.0,1.0
512,AC005040.3,0.0,1.0
513,AC005041.11,0.0,1.0
514,AC005041.17,0.329910986021,1.0
515,AC005042.2,inf,1.0
516,AC005042.3,0.0,1.0
517,AC005042.4,1.14558152161,0.923467014719
518,AC005042.5,0.0,1.0
519,AC005048.1,0.0,1.0
520,AC005062.2,0.0,1.0
521,AC005071.1,-inf,1.0
522,AC005076.5,0.0157589518522,1.0
523,AC005077.12,0.145933914175,1.0
524,AC005077.14,0.154477397475,1.0
525,AC005077.5,0.0,1.0
526,AC005077.7,0.0,1.0
527,AC005077.8,0.0,1.0
528,AC005077.9,0.0,1.0
529,AC005082.1,0.0,1.0
530,AC005082.12,0.0,1.0
531,AC005083.1,0.0,1.0
532,AC005086.1,0.0,1.0
533,AC005086.2,0.0,1.0
534,AC005086.3,0.0,1.0
535,AC005086.4,0.0,1.0
536,AC005088.1,0.0,1.0
537,AC005094.2,0.0,1.0
538,AC005102.1,0.707297419063,1.0
539,AC005104.3,0.142707611902,1.0
540,AC005105.2,0.0,1.0
541,AC005150.1,0.0,1.0
542,AC005152.3,0.0,1.0
543,AC005154.6,0.00109774974259,1.0
544,AC005154.7,1.14570077232,1.0
545,AC005154.8,inf,1.0
546,AC005159.1,0.0,1.0
547,AC005160.3,0.0,1.0
548,AC005161.1,0.0,1.0
549,AC005162.4,0.0,1.0
550,AC005162.5,0.0,1.0
551,AC005176.1,0.0,1.0
552,AC005176.2,0.0,1.0
553,AC005176.3,0.0,1.0
554,AC005178.1,0.0,1.0
555,AC005189.6,inf,1.0
556,AC005195.1,0.0,1.0
557,AC005197.2,0.0242248148188,1.0
558,AC005215.1,0.0,1.0
559,AC005220.3,0.0,1.0
560,AC005224.2,0.279158869334,1.0
561,AC005229.1,-0.366335791236,1.0
562,AC005229.5,0.0,1.0
563,AC005229.7,0.198430584671,1.0
564,AC005235.1,0.0,1.0
565,AC005237.2,0.0,1.0
566,AC005237.4,0.0,1.0
567,AC005253.2,0.298058898587,1.0
568,AC005253.4,0.0,1.0
569,AC005255.3,0.317722340138,0.877019250161
570,AC005255.5,0.0,1.0
571,AC005255.6,0.0,1.0
572,AC005256.1,0.0,1.0
573,AC005262.2,0.0,1.0
574,AC005262.3,0.0,1.0
575,AC005262.4,-0.518256435542,1.0
576,AC005264.2,0.426145459124,1.0
577,AC005276.1,0.0,1.0
578,AC005280.1,0.0,1.0
579,AC005281.1,0.0,1.0
580,AC005281.2,0.0,1.0
581,AC005284.1,0.0,1.0
582,AC005288.1,0.0,1.0
583,AC005300.5,0.0,1.0
584,AC005301.8,0.0,1.0
585,AC005304.1,inf,1.0
586,AC005306.3,0.677083492839,1.0
587,AC005307.1,0.0,1.0
588,AC005307.3,0.0,1.0
589,AC005324.6,0.0,1.0
590,AC005324.7,0.0,1.0
591,AC005326.2,0.0,1.0
592,AC005329.7,0.12695516252,1.0
593,AC005330.2,-0.654336564598,1.0
594,AC005336.4,0.0760607815623,1.0
595,AC005336.5,-0.0343944721398,1.0
596,AC005339.2,0.0,1.0
597,AC005351.1,-0.345287009382,1.0
598,AC005355.1,0.0,1.0
599,AC005355.2,-0.0641565479591,1.0
600,AC005356.1,-0.202497834083,1.0
601,AC005357.1,0.0,1.0
602,AC005358.1,0.0,1.0
603,AC005358.3,0.0,1.0
604,AC005363.9,0.0,1.0
605,AC005370.1,0.0,1.0
606,AC005375.1,0.0,1.0
607,AC005387.2,1.24646698672,1.0
608,AC005387.3,-1.51825643554,1.0
609,AC005391.2,0.0,1.0
610,AC005392.13,0.0,1.0
611,AC005394.1,0.0,1.0
612,AC005399.1,0.0,1.0
613,AC005477.1,0.0,1.0
614,AC005481.5,0.0,1.0
615,AC005484.5,0.0,1.0
616,AC005487.2,0.0,1.0
617,AC005488.1,0.0,1.0
618,AC005488.11,0.0,1.0
619,AC005493.1,0.0,1.0
620,AC005498.3,0.554939001765,1.0
621,AC005498.4,0.0,1.0
622,AC005513.1,0.0,1.0
623,AC005517.3,0.0299048339438,1.0
624,AC005518.2,0.0,1.0
625,AC005519.4,0.0145546977778,1.0
626,AC005522.6,0.0,1.0
627,AC005522.7,0.0,1.0
628,AC005523.2,0.0,1.0
629,AC005523.3,inf,1.0
630,AC005532.5,0.0855029392779,1.0
631,AC005534.6,0.0,1.0
632,AC005534.8,-0.641219709624,1.0
633,AC005537.2,-0.056257208903,1.0
634,AC005538.5,0.0,1.0
635,AC005539.2,-0.622015810361,1.0
636,AC005540.3,inf,1.0
637,AC005544.1,0.0,1.0
638,AC005546.2,0.304939001765,1.0
639,AC005549.1,0.0,1.0
640,AC005549.2,0.0,1.0
641,AC005549.3,0.0,1.0
642,AC005550.3,0.0,1.0
643,AC005550.4,0.0,1.0
644,AC005550.5,0.0,1.0
645,AC005559.2,0.0,1.0
646,AC005559.3,0.085502939278,1.0
647,AC005562.1,0.54184719445,1.0
648,AC005588.2,0.0,1.0
649,AC005592.1,0.0,1.0
650,AC005592.2,-0.216926708547,1.0
651,AC005592.3,0.0,1.0
652,AC005594.3,0.051982642916,1.0
653,AC005597.1,0.0,1.0
654,AC005606.1,0.0,1.0
655,AC005606.14,0.0,1.0
656,AC005606.15,0.0,1.0
657,AC005609.1,inf,1.0
658,AC005609.2,0.0,1.0
659,AC005614.3,0.0,1.0
660,AC005614.5,0.0,1.0
661,AC005616.1,0.0,1.0
662,AC005616.2,0.0,1.0
663,AC005618.1,0.0,1.0
664,AC005618.6,1.49646698672,1.0
665,AC005621.1,0.0,1.0
666,AC005624.2,0.646234708404,1.0
667,AC005625.1,0.0,1.0
668,AC005626.3,0.0,1.0
669,AC005631.1,0.0,1.0
670,AC005682.5,0.324902580086,1.0
671,AC005682.6,-0.952497834083,1.0
672,AC005682.7,inf,1.0
673,AC005682.8,0.0,1.0
674,AC005686.1,0.0,1.0
675,AC005701.1,0.0,1.0
676,AC005702.1,1.02583138211,1.0
677,AC005702.2,0.0,1.0
678,AC005702.3,inf,1.0
679,AC005702.4,-inf,1.0
680,AC005703.2,0.0,1.0
681,AC005703.3,0.0,1.0
682,AC005722.4,0.0,1.0
683,AC005725.1,0.0,1.0
684,AC005730.2,0.0,1.0
685,AC005740.3,0.0,1.0
686,AC005740.4,0.433582294973,1.0
687,AC005740.5,0.0,1.0
688,AC005740.6,-0.306257208903,1.0
689,AC005741.2,0.0,1.0
690,AC005754.7,inf,1.0
691,AC005754.8,1.12798418964,1.0
692,AC005757.6,inf,1.0
693,AC005757.7,0.0,1.0
694,AC005758.1,0.0,1.0
695,AC005772.2,0.0,1.0
696,AC005775.2,-inf,1.0
697,AC005776.1,0.0,1.0
698,AC005777.3,0.0,1.0
699,AC005779.1,0.0,1.0
700,AC005779.2,0.0,1.0
701,AC005780.1,0.0,1.0
702,AC005783.1,0.0,1.0
703,AC005785.2,0.676145459124,1.0
704,AC005786.3,0.0,1.0
705,AC005786.5,0.0,1.0
706,AC005786.7,0.0,1.0
707,AC005789.11,-0.390956155531,1.0
708,AC005789.9,0.0,1.0
709,AC005794.1,0.0,1.0
710,AC005795.1,0.104090415485,1.0
711,AC005808.3,0.0,1.0
712,AC005822.1,-0.0890294141408,1.0
713,AC005831.1,0.0,1.0
714,AC005838.2,0.0,1.0
715,AC005841.1,0.768544795694,1.0
716,AC005863.1,0.0,1.0
717,AC005863.2,0.0,1.0
718,AC005884.1,0.0,1.0
719,AC005926.1,0.0,1.0
720,AC005932.1,-0.202497834083,1.0
721,AC005943.4,0.199422810222,1.0
722,AC005943.5,-0.375420735139,0.832341781085
723,AC005944.2,0.0,1.0
724,AC005954.3,inf,1.0
725,AC005954.4,0.0,1.0
726,AC006000.5,0.0,1.0
727,AC006001.1,0.0,1.0
728,AC006003.3,0.0,1.0
729,AC006004.1,0.0,1.0
730,AC006007.1,0.0,1.0
731,AC006011.4,0.0,1.0
732,AC006014.1,0.0,1.0
733,AC006014.10,0.0,1.0
734,AC006014.7,0.0,1.0
735,AC006014.8,0.0,1.0
736,AC006019.3,0.0,1.0
737,AC006019.4,0.0,1.0
738,AC006022.4,0.0,1.0
739,AC006023.8,inf,1.0
740,AC006024.4,-1.5607376859,0.704203925478
741,AC006026.1,0.0,1.0
742,AC006026.10,0.0842573039477,1.0
743,AC006026.12,0.0,1.0
744,AC006026.13,0.0,1.0
745,AC006026.9,0.0942418478772,1.0
746,AC006028.11,0.656382006832,1.0
747,AC006033.22,0.716571582783,1.0
748,AC006035.1,0.0,1.0
749,AC006037.2,0.0,1.0
750,AC006041.1,0.0,1.0
751,AC006042.6,0.0,1.0
752,AC006042.7,0.0,1.0
753,AC006042.8,-0.375677504353,1.0
754,AC006045.3,0.0,1.0
755,AC006050.2,0.0,1.0
756,AC006070.12,0.0,1.0
757,AC006076.1,0.0,1.0
758,AC006077.4,0.0,1.0
759,AC006080.1,0.0,1.0
760,AC006111.1,-0.664497060722,1.0
761,AC006115.1,0.0,1.0
762,AC006115.3,0.0,1.0
763,AC006115.6,0.0,1.0
764,AC006116.1,0.0,1.0
765,AC006116.12,-inf,1.0
766,AC006116.13,0.0,1.0
767,AC006116.14,0.0,1.0
768,AC006116.15,0.0,1.0
769,AC006116.17,0.996466986722,0.857403347473
770,AC006116.19,-inf,1.0
771,AC006116.20,-0.361855314237,1.0
772,AC006116.21,0.0,1.0
773,AC006116.22,0.0546221616,1.0
