SYMBOL	Normal_A1209_16.CEL	Normal_A1209_17.CEL	Normal_A1209_18.CEL	Normal_A1209_19.CEL	Tumour_A1209_01.CEL	Tumour_A1209_05.CEL	Tumour_A1209_09.CEL	Tumour_A1209_13.CEL
ABCA11P	92.8513215	70.89139709	61.23272768	45.71184427	35.18129298	30.44605363	50.8011336	51.26052859
ABCA12	1632.511303	1769.918078	1306.393358	1639.197889	4129.54366	3936.307841	3645.099429	4385.42699
ABCA13	40.70648434	30.71521965	28.41439016	37.62434036	72.6964268	48.13148215	53.55621315	65.15677015
ABCA2	171.3230105	159.1840485	176.752476	171.5827426	112.2330354	118.5181751	111.5890401	109.2371547
ABCA3	84.17475524	97.05313564	95.04880031	90.80610189	56.01479664	56.65072735	60.71013998	48.29825784
ABCA4	27.14931457	28.84470074	31.81989776	26.79205628	42.65385136	36.60028135	50.40972939	43.1958217
ABCA5	307.3083227	395.830046	342.9224281	342.9385534	150.3583157	133.5874681	207.4836712	181.69492
ABCA6	47.81888991	52.98860332	50.22643228	40.70491734	19.4568907	20.12744384	21.1216716	21.53687703
ABCA7	107.8848261	118.1552513	121.8335689	114.5547596	112.8721248	113.0627952	107.7385217	123.118902
ABCA8	18.32979108	24.41973045	14.82225474	16.59851806	16.48395166	13.3561236	13.94494515	14.72708933
ABCA9	30.40819241	37.77415795	34.10931303	29.96925961	17.49253885	16.32125676	19.50378772	22.07746608
ABCB1	28.40978998	25.72634397	24.15010783	27.67821848	25.4551922	26.60104389	27.42778611	24.63906637
ABCB10	90.20664926	104.3065963	105.4516172	93.07352268	81.82488346	116.5536745	84.51551555	116.052254
ABCB11	33.7805196	18.85076054	27.4999023	21.41167483	34.34227365	46.70883871	58.7113801	45.02321206
ABCB4	33.35748072	31.99752977	30.44726534	30.63963681	25.44967163	25.99857241	23.03371323	23.31009555
ABCB5	14.76086088	15.19381921	18.4607547	18.98218058	19.23193198	18.76683745	17.23698141	15.87197049
ABCB6	91.41628986	98.47859807	87.79319949	86.01490614	125.6877724	111.9322828	156.0614562	98.0125229
ABCB7	367.8488381	365.1490674	331.6332695	292.4347201	279.4537378	327.993283	288.8387273	373.8751319
ABCB8	70.78769412	70.00541403	60.86903023	29.66080207	39.72614554	45.21396628	21.03069075	60.80083315
ABCB9	52.71009275	53.77918657	53.5282701	51.39690097	51.25517448	55.85979267	52.92091781	44.47948651
ABCC1	252.8499743	202.5800506	200.498914	207.3718966	558.6289077	442.7778714	607.9780116	419.6692055
ABCC10	146.4822686	142.1876572	137.7955915	139.6671984	120.0152749	135.7156423	126.595779	147.0236407
ABCC11	40.62384889	34.33902876	43.16414561	46.87967609	48.23414914	43.83743371	42.00971876	34.21503249
ABCC12	17.21073934	20.33801433	22.07199602	28.03994634	24.86961125	25.88326689	22.66721405	21.31636892
