SYMBOL,Norm.y.4,Tumour_24h_10nmol_resveratrol,Norm.y.5,Tumour_24h_50micromol_resveratrol,Norm.x.5,Tumour_48h_10nmol_resveratrol,Norm.x.6,Tumour_48h_50micromol_resveratrol
GABRA6,12.6053422367,12.4256252226,12.6053422367,11.8813565058,11.7316392397,12.949316712,11.7316392397,12.6685643352
GABRB1,14.7909800834,15.2241357557,14.7909800834,14.7125283216,13.6676363839,13.9543371174,13.6676363839,16.9255426362
GABRB2,15.5980112334,14.9971621386,15.5980112334,14.5118606365,15.989883347,15.2294018918,15.989883347,15.3598432958
GABRB3,16.1819458466,15.9500145734,16.1819458466,15.8227925766,16.9378208573,14.9033839955,16.9378208573,14.1758195642
GABRD,22.1477456555,21.7534072506,22.1477456555,21.7615652021,23.4400067612,26.1345384886,23.4400067612,23.4488245761
GABRE,33.796419126,68.4633316164,33.796419126,47.25523424,98.1186557289,100.53980447,98.1186557289,97.6023926224
GABRG1,13.1805098086,13.0952532693,13.1805098086,13.131634832,12.8732211655,13.8611576261,12.8732211655,12.7271675912
GABRG2,13.8194223071,13.0645800068,13.8194223071,14.2829685635,13.8321156469,13.7051722276,13.8321156469,12.4085963321
GABRG3,13.6116403866,13.6495964567,13.6116403866,14.0741776898,12.4890300926,13.862846073,12.4890300926,14.3868898748
GABRP,16.5999168967,13.9377242627,16.5999168967,14.3306864944,14.5344299583,15.0155903945,14.5344299583,14.752740782
GABRQ,15.8195473023,16.7071526506,15.8195473023,15.6835430757,15.9936203673,15.4003602132,15.9936203673,17.2396076565
GABRR1,17.8071191419,13.9829854514,17.8071191419,19.9451798857,20.0392072878,14.2348945865,20.0392072878,15.318714808
GABRR2,25.3480937269,23.2446822486,25.3480937269,21.5630809938,22.9881660981,19.3288490746,22.9881660981,24.370805355
GABRR3,11.575604891,13.226440785,11.575604891,12.9501902505,14.2990326444,13.1015842229,14.2990326444,12.9925505348
GAD1,26.9420532458,20.8110204173,26.9420532458,23.8292336482,19.5185805503,16.9061630383,19.5185805503,19.1834088523
GAD2,16.8913570805,17.1212597556,16.8913570805,15.7348842704,17.7731163313,17.6822784184,17.7731163313,17.4238244299
GADD45A,3226.22269659,3559.07455036,3226.22269659,4091.98496092,4046.9904189,4001.28042366,4046.9904189,4251.44685271
GADD45B,79.4201918124,61.5919877909,79.4201918124,117.962202736,95.5651623334,56.6259777845,95.5651623334,159.474497372
GADD45G,16.333487078,20.0382768283,16.333487078,18.0798713561,19.867166307,16.2380468311,19.867166307,18.8676167844
GADD45GIP1,60.3284646183,50.9554765281,60.3284646183,47.0201482832,51.8371811175,53.134510579,51.8371811175,52.3107857953
GADL1,16.1120496954,15.3909136149,16.1120496954,16.8792382214,17.6483768133,16.3175950228,17.6483768133,18.1168613063
GAFA1,14.9209964249,14.092127004,14.9209964249,12.5413135781,12.8860707481,13.2570512163,12.8860707481,13.2458032846
GAFA2,53.6929378314,53.5615042856,53.6929378314,51.006749282,56.495574248,55.6628075537,56.495574248,60.2465441288
GAFA3,12.2804676548,11.5009085273,12.2804676548,11.3941709451,11.8047393633,12.4515188307,11.8047393633,11.8127345882
GAGE1,11.8250143554,12.9233696361,11.8250143554,12.20776851,12.669808812,12.639303961,12.669808812,13.2149062392
GAGE1 ,15.4714825795,14.2146120271,15.4714825795,14.7538677881,13.8863293905,15.515962724,13.8863293905,13.551307618
GAGE12F ,14.1596279824,14.8598533762,14.1596279824,15.2647055772,15.6123856106,15.6835430757,15.6123856106,16.236825979
GAGE3,13.6375675212,17.4147799223,13.6375675212,14.226061934,15.5023231811,14.8654776956,15.5023231811,15.0641211448
GAK,247.969616774,251.057150163,247.969616774,227.585482758,313.69911025,324.812413557,313.69911025,333.345365367
GAL,42.4029701027,38.7788449582,42.4029701027,26.1998560003,30.7668872315,33.0648794471,30.7668872315,24.0584792266
GAL3ST1,18.4632165623,21.5551852415,18.4632165623,18.2438059642,19.0816245132,19.5726548645,19.0816245132,21.4493118163
GAL3ST2,38.3846986994,29.1462909387,38.3846986994,30.5197327199,34.6224457625,29.5380356173,34.6224457625,34.8063046617
GAL3ST3,17.2538426009,17.4269055222,17.2538426009,17.2907450136,18.1872998927,18.0261403084,18.1872998927,15.8344080846
GAL3ST4,39.0479348119,51.568151494,39.0479348119,56.2401539592,46.7410522007,44.993072064,46.7410522007,25.3147048349
GALC,42.3932668207,46.5629360831,42.3932668207,48.3594665281,46.5512209917,42.1819079932,46.5512209917,30.794227442
GALE,133.395150786,133.030548584,133.395150786,141.955525273,115.137134011,160.792091599,115.137134011,205.660202363
GALK1,14.9106914377,17.9093187808,14.9106914377,18.5620991917,17.0229316777,17.0667554742,17.0229316777,16.5366661795
GALK2,60.5045556598,48.3204698355,60.5045556598,57.8567043112,51.0890951911,42.2776874992,51.0890951911,53.5091939087
GALM,17.1722767612,18.5634273994,17.1722767612,17.4040399075,18.7736216794,17.2503617703,18.7736216794,16.5879235713
GALNS,90.0571583555,90.0277057127,90.0571583555,92.3947770077,106.200366218,112.628490608,106.200366218,97.8165636346
GALNT1,391.990428209,453.176424356,391.990428209,429.904490725,425.375638174,511.136993254,425.375638174,498.768054472
GALNT10,58.1529819864,70.1665099761,58.1529819864,79.6014993319,69.6881761278,62.9396988059,69.6881761278,62.5260207462
GALNT11,234.444813629,260.640001519,234.444813629,317.102880536,277.822483044,314.824555868,277.822483044,288.026025747
GALNT12,12.8269104812,13.5078738776,12.8269104812,15.2755138825,12.6621661517,12.7221407948,12.6621661517,12.9496888993
GALNT13,14.1025437643,14.1638793528,14.1025437643,14.9196830396,13.8087938741,14.7135264754,13.8087938741,14.2181130336
GALNT14,70.5429185203,67.8310298525,70.5429185203,55.5341195665,65.8547661768,76.3746705419,65.8547661768,64.155718296
GALNT2,220.694738369,218.310373709,220.694738369,185.415371406,219.703275985,193.389879241,219.703275985,136.375478721
GALNT2 ,381.151418981,442.968453518,381.151418981,410.810082661,393.08399003,363.87736728,393.08399003,251.204156614
GALNT3,174.221717873,135.925377577,174.221717873,154.637216295,125.965474189,144.603875985,125.965474189,169.526697357
GALNT4,140.804036436,115.612002603,140.804036436,101.723816798,117.759496373,121.727239554,117.759496373,131.59984064
GALNT4 ,47.3316412548,41.0536823746,47.3316412548,42.9447271438,46.8699023949,57.2646905248,46.8699023949,50.0745582867
GALNT5,29.7324225298,26.5917028761,29.7324225298,22.6943296759,38.9315758554,25.976529956,38.9315758554,25.9162902153
GALNT6,137.385307051,139.403453344,137.385307051,133.329302046,163.348250185,243.609703984,163.348250185,195.017110894
GALNT7,432.496478567,425.244445304,432.496478567,457.218351933,442.184534869,361.474158562,442.184534869,339.168074832
GALNT8,21.1690464041,18.1562170364,21.1690464041,18.4613071469,18.3966655865,16.8805854256,18.3966655865,17.6500068471
GALNT9,33.3805336345,27.3737902264,33.3805336345,20.1777373405,28.1075712769,22.9419848224,28.1075712769,26.9181589536
GALNTL1,19.7881568165,16.8913570805,19.7881568165,20.5650789764,17.9203189517,18.2422317367,17.9203189517,18.5857021391
GALNTL2,13.7373940745,13.4712969493,13.7373940745,12.9984325905,14.2188419391,13.8632612548,14.2188419391,14.4401059128
GALNTL4,53.3664900155,53.9140983891,53.3664900155,50.334256432,53.9516524292,52.6903274054,53.9516524292,43.8389501161
GALNTL5,10.9286012101,10.4916189524,10.9286012101,10.7337228352,12.136168829,10.1521167606,12.136168829,10.3493140984
GALNTL6,16.15633456,14.5763031575,16.15633456,15.5848775219,15.4665434168,15.9591172456,15.4665434168,15.154137478
GALP,10.8007240233,11.6234245981,10.8007240233,12.3111976849,11.3744448674,11.3567190886,11.3744448674,11.9605353537
GALR1,11.1225137585,10.0735697452,11.1225137585,10.4853147892,11.0249597747,10.8101452725,11.0249597747,10.915412022
GALR2,11.5428407238,11.3736322132,11.5428407238,11.9968655941,9.64054997178,12.3268970444,9.64054997178,11.4007407634
GALR3,40.7975718515,37.3234272637,40.7975718515,34.7027220328,40.7178293222,42.7260843882,40.7178293222,47.1980580283
GALT,39.1160017052,36.2290753368,39.1160017052,39.7070006156,38.9927302304,34.205333107,38.9927302304,43.5854249336
GAMT,45.7370639345,76.5023360554,45.7370639345,66.6062161709,76.5615836186,70.8898694297,76.5615836186,64.9773121231
GAN,13.4960858632,16.0429808113,13.4960858632,14.8793202258,15.2284280773,15.6694055257,15.2284280773,19.5075154593
GANAB,554.521433306,554.258959382,554.521433306,538.238313786,485.042691925,470.024809517,485.042691925,454.473495299
GANC,36.7482578493,34.6025431724,36.7482578493,29.9485990185,36.5217915727,33.6156471804,36.5217915727,21.6223246133
GAP43,15.1666776345,14.392109553,15.1666776345,15.3062548126,14.7247415431,14.1643905488,14.7247415431,15.9677302343
GAPDH,6224.6670222,6197.69828838,6224.6670222,6078.00330962,5574.47986875,5909.4259362,5574.47986875,5619.45933407
GAPDHL7,59.4730585811,49.1551121276,59.4730585811,44.3334775434,36.45034446,45.2331630652,36.45034446,44.6652409672
GAPDHS,16.8056991134,21.0033067199,16.8056991134,17.6331932374,16.9248380197,16.8655445432,16.9248380197,20.330114504
GAPT,10.5747253442,11.4020009684,10.5747253442,12.8186079085,10.9193658368,11.6122142826,10.9193658368,11.1907098806
GAPVD1,286.859337964,275.792108708,286.859337964,288.416350513,304.814030989,335.578057473,304.814030989,365.096358276
GAR1,517.15801338,420.087401172,517.15801338,313.472532064,308.573468426,380.885380069,308.573468426,261.264040377
GARNL3,18.3469538578,17.5111283798,18.3469538578,15.9962394438,18.362849805,16.6829814492,18.362849805,17.6774626373
GARS,2416.80390827,2562.10164798,2416.80390827,2305.58586599,2258.55414434,2277.37399491,2258.55414434,2159.83827865
GART,169.871115263,139.874146021,169.871115263,113.713968297,136.26294534,123.237909531,136.26294534,105.970198173
GAS1,18.8020695235,23.6843507806,18.8020695235,25.3218677504,29.9529362265,22.7950579492,29.9529362265,17.5849372547
GAS2,11.4707982742,12.7259347882,11.4707982742,12.4036035692,12.6217909832,12.1017688211,12.6217909832,12.0340847155
GAS2L1,94.3218252413,80.98150211,94.3218252413,67.3106056627,72.5128831756,91.5025009103,72.5128831756,66.8344742946
GAS2L2,27.8990641697,23.813477642,27.8990641697,26.7218157062,27.0507103495,29.6719922708,27.0507103495,27.8782640994
GAS2L3,21.4567852796,19.6785513242,21.4567852796,26.2230158555,19.1713929363,19.2282495749,19.1713929363,38.3779884285
GAS5,358.380079285,355.00427218,358.380079285,288.220118762,363.87736728,340.132265913,363.87736728,256.257866962
GAS6,1014.56914569,589.991262143,1014.56914569,622.600648861,803.634375991,382.204436747,803.634375991,536.636216648
GAS7,19.9521863762,20.2964226248,19.9521863762,18.3139814289,20.0805254244,20.07227824,20.0805254244,19.0654512359
GAS8,72.6592768905,79.8407997518,72.6592768905,72.9313121396,69.6619288658,73.2720308605,69.6619288658,60.0047760486
GAST,33.6398156594,27.5035435769,33.6398156594,31.7134042261,39.9310240022,43.2411219725,39.9310240022,35.7799187482
GATA1,20.7351294774,17.9877325202,20.7351294774,17.338200508,18.6412160621,17.6480112496,18.6412160621,17.7942412795
GATA2,20.3087878093,21.0821256978,20.3087878093,19.4403961622,20.0109996677,20.3404128834,20.0109996677,22.3608529796
GATA3,169.138791359,187.101798434,169.138791359,236.884440706,245.87541014,234.042107482,245.87541014,184.013476522
GATA4,16.998680709,17.1620100212,16.998680709,16.2355967225,16.0728219147,17.0761305767,16.0728219147,17.9358936284
GATA5,14.9054702156,16.2621917801,14.9054702156,14.6239534592,15.1818286306,15.4763113632,15.1818286306,15.3712814676
GATA6,17.7212143815,17.7260653648,17.7212143815,19.0343803192,16.8265277689,17.7464385259,16.8265277689,20.2643236616
GATAD1,73.8870961952,76.2059114346,73.8870961952,84.4596749272,80.8806902523,75.4085766827,80.8806902523,75.3737319361
GATAD2A,97.6418154046,80.3673600881,97.6418154046,79.1510581074,86.9844115157,98.7609394,86.9844115157,97.2284197324
GATAD2B,29.0657753764,33.9428398943,29.0657753764,37.601943955,28.1692221649,26.5155540079,28.1692221649,32.0682038034
GATC,223.913620777,213.850661985,223.913620777,233.111715981,242.407707667,242.157838302,242.407707667,231.696411546
GATM,13.8216511799,13.8486096717,13.8216511799,16.0144386373,14.4798673725,14.2620827295,14.4798673725,15.0896214039
GATS,28.1752785843,27.5776931181,28.1752785843,31.8058005516,31.3874170045,31.4704142383,31.3874170045,30.5724719433
GATSL3 ,24.5634566781,29.1947948323,24.5634566781,28.871401163,33.7999449473,28.1499356496,33.7999449473,24.6554678355
GBA ,55.6254403538,75.3737319361,55.6254403538,76.8352303035,58.2323718803,105.513265619,58.2323718803,90.3868883217
GBA2,102.971191221,101.841601351,102.971191221,96.7792764847,102.971191221,133.197406964,102.971191221,120.305495579
GBA3,14.7786601026,14.7766695827,14.7786601026,15.1264843029,14.3569320466,15.1666776345,14.3569320466,13.8210179765
GBAS,1254.71028359,1131.49163096,1254.71028359,1229.11985977,1291.89164008,925.787703909,1291.89164008,1042.68248802
GBE1,985.449982879,1089.00238122,985.449982879,1474.91676334,990.171235203,830.581210974,990.171235203,822.661757697
GBF1,56.4555227718,45.8659963797,56.4555227718,53.8816305141,37.5620841338,39.1720304888,37.5620841338,56.9813729499
GBGT1,29.2419263201,25.481734146,29.2419263201,22.372228448,21.284505006,19.7792824635,21.284505006,23.8524467503
GBP1,156.757580138,125.325204382,156.757580138,59.4643693315,221.680967537,105.970198173,221.680967537,23.2843249194
GBP2,17.0139187424,15.9460710191,17.0139187424,19.1655789099,20.1270148147,16.7175198175,20.1270148147,16.3936543407
GBP3,545.361718719,560.522201739,545.361718719,431.23399241,533.246188793,444.817305684,533.246188793,342.607743528
GBP4,15.8658570523,12.9318268218,15.8658570523,13.8247837817,14.2650133482,13.4068704513,14.2650133482,16.3569813824
GBP5,12.9575892756,11.8149399779,12.9575892756,12.1258542171,12.1887168885,11.9460813628,12.1887168885,12.5410099848
GBP6,15.1201027185,28.4910713708,15.1201027185,17.179337699,33.2387907939,36.3640701254,33.2387907939,16.9863436065
GBX1,18.4632165623,21.1458697096,18.4632165623,16.1064985018,23.1294456447,18.7611408863,23.1294456447,17.8424485972
GBX2,14.0949816599,11.9107673773,14.0949816599,12.7473452824,12.7711283889,12.1631494275,12.7711283889,12.9435646676
GC,12.4447001616,11.4215544376,12.4447001616,11.5687223014,12.2086886766,13.1345126429,12.2086886766,13.7211528995
GCA,83.7253470565,93.8347524149,83.7253470565,186.313621849,77.4588411286,84.0474731832,77.4588411286,137.533014579
GCAT,103.961958416,85.3775173405,103.961958416,99.9039145733,70.9784550985,89.726941308,70.9784550985,62.7228763963
GCC1,41.6292471048,39.6941236893,41.6292471048,43.6693199473,36.87473172,45.6046376872,36.87473172,43.2256222957
GCC2,217.084828619,212.968469689,217.084828619,238.852303154,268.006335776,185.311977658,268.006335776,320.046364952
GCDH,103.184775287,99.5828690981,103.184775287,126.071890754,79.1913850265,107.10796956,79.1913850265,110.626401451
GCET2,19.3717441052,18.7829908688,19.3717441052,17.2193080504,22.5268596639,17.1249267144,22.5268596639,16.2330503383
GCFC1,108.975032976,100.51731497,108.975032976,99.1352546354,120.014900875,102.95010263,120.014900875,95.3791732547
GCG,12.5859520921,13.3493214558,12.5859520921,13.0734453951,12.4106842959,13.865359381,12.4106842959,13.5327322254
GCGR,25.5774482358,21.7443138618,25.5774482358,22.5372522907,22.027772926,24.6251930327,22.027772926,25.53773781
GCH1,109.575451788,198.981387613,109.575451788,338.483979721,99.2776077862,258.660495191,99.2776077862,355.7754091
GCHFR,19.9646173914,22.6340961067,19.9646173914,35.2272989943,20.6329208713,17.8214265675,20.6329208713,23.1548600018
GCK,20.7981964703,19.8898257294,20.7981964703,18.501970966,20.9003553641,17.7550070498,20.9003553641,17.2153463711
GCKR,17.6732443931,19.4174900604,17.6732443931,16.7883712405,19.464736823,17.8214265675,19.464736823,17.639585458
GCLC,437.239385673,1701.58363758,437.239385673,1909.62223835,751.319171233,1794.65395409,751.319171233,1536.04977726
GCLM,905.572792571,1938.52624213,905.572792571,1893.78134048,862.805601819,1492.95821819,862.805601819,1318.15520678
GCM1,18.5350848504,19.354175568,18.5350848504,15.3754279671,16.4998821249,16.2844949525,16.4998821249,16.9164826271
GCM2,12.6226756727,12.9770509545,12.6226756727,12.0272600543,10.9983118145,11.6542799701,10.9983118145,13.7927816381
GCN1L1,268.006335776,218.15876358,268.006335776,202.113611376,210.628116689,206.106705993,210.628116689,241.486745175
GCNT1,88.9563890467,85.9671923176,88.9563890467,92.13348113,70.1665099761,64.3856062596,70.1665099761,82.2376198298
GCNT2,40.7881012123,56.495574248,40.7881012123,40.7464183177,59.1521662504,53.9140983891,59.1521662504,32.3475489176
GCNT3,28.3870631683,25.5944563747,28.3870631683,22.5925574242,29.2406914769,28.58614807,29.2406914769,28.1270090866
GCNT4,13.6586960888,15.6796728945,13.6586960888,15.3240144277,16.9826349338,15.1828338782,16.9826349338,14.823280989
GCNT7,20.1171531885,19.4380210164,20.1171531885,20.1545703436,20.7642557614,15.827418974,20.7642557614,17.1770286561
GCOM1,28.3076738913,27.5154266117,28.3076738913,28.6193650448,27.43106607,28.1785995053,27.43106607,27.4580123221
GCOM1 ,208.970949847,240.144477373,208.970949847,274.085204823,253.945738278,227.8051793,253.945738278,217.996793281
GCSH ,1173.8916042,1059.96514909,1173.8916042,884.473374706,936.535906242,782.806573075,936.535906242,580.742212169
GDA,17.1620100212,17.5091598776,17.1620100212,18.0478652804,17.5601724421,16.1674069755,17.5601724421,18.6376369797
GDAP1,74.6531782094,59.2266423135,74.6531782094,47.3716361216,42.6334309057,49.5773098106,42.6334309057,27.4689128438
GDAP1L1,19.2521494857,21.2692715779,19.2521494857,19.5550561688,21.0356187798,22.5635918957,21.0356187798,20.9514643317
GDAP2,42.5154373199,42.374254553,42.5154373199,49.2834467628,44.7198144825,48.3594665281,44.7198144825,61.6239919557
GDE1,505.700221778,565.861759554,505.700221778,681.995718408,586.406948811,619.234086722,586.406948811,669.71820551
GDEP,27.0692101706,23.9742441133,27.0692101706,25.0275551066,23.9153418457,27.4837219258,23.9153418457,30.7839466075
GDF1 ,23.3328708773,26.1530523067,23.3328708773,26.1364217059,22.6576869724,23.6700426722,22.6576869724,25.7093282138
GDF10,11.0830509881,10.7280674267,11.0830509881,11.6469849804,10.874764151,11.7650978567,10.874764151,11.634977495
GDF11,32.0856683675,29.8169391311,32.0856683675,31.7975305221,30.8437456877,29.2111339672,30.8437456877,35.1525553141
GDF15 ,33.271558135,171.465261088,33.271558135,483.964634146,65.0065779244,230.341693429,65.0065779244,191.364982824
GDF2,21.5055125615,24.0776851136,21.5055125615,24.1784096506,23.4312610388,20.6612073147,23.4312610388,24.6780300126
GDF3,17.900021969,18.7281249383,17.900021969,16.9798518199,17.3594405177,17.6645081376,17.3594405177,16.2637166761
GDF5,38.0197213825,44.6725436434,38.0197213825,37.8830660788,38.5980497032,38.5839962375,38.5980497032,43.9762894972
GDF9,19.1628929233,15.3113401013,19.1628929233,13.9493461558,19.4347503543,17.2694258175,19.4347503543,16.9333961775
GDI1,192.048230564,192.777776953,192.048230564,200.866693155,224.405942009,229.761665822,224.405942009,227.96686177
GDI2,2207.026706,2072.78651266,2207.026706,1898.65847281,2076.41257464,1878.42129898,2076.41257464,1861.5528731
GDNF,17.047929482,21.6586911709,17.047929482,17.0959233164,18.7545524101,19.172600875,18.7545524101,16.6763038958
GDPD1,23.2883954652,26.6407557659,23.2883954652,28.5128659521,30.4357015913,30.0293399199,30.4357015913,25.8598633564
GDPD2,38.6726792861,44.6338294512,38.6726792861,35.028615652,65.7272844131,70.7116612585,65.7272844131,40.2831501877
GDPD3,42.5885726422,37.8442458848,42.5885726422,36.6450655116,46.3377299293,60.2591060121,46.3377299293,49.5606312145
GDPD5,42.4873198504,37.7413976941,42.4873198504,37.1200574176,36.7958860487,33.4397593905,36.7958860487,41.5979384097
GEFT,24.6690332425,24.7166553259,24.6690332425,25.7697339134,29.4160918773,34.8294481986,29.4160918773,25.5872042944
GEM,26.8959101121,25.151150252,26.8959101121,26.342463414,29.1540373161,24.4012975122,29.1540373161,115.188849683
GEMIN4,181.554973029,163.483230855,181.554973029,129.172176244,140.063815252,141.411187072,140.063815252,111.367678947
GEMIN5,231.432238328,222.799423404,231.432238328,187.451570362,180.169242516,198.296717082,180.169242516,120.880933839
GEMIN6,249.98700087,247.761492137,249.98700087,205.083820243,211.439786304,238.768893489,211.439786304,161.208032258
GEMIN7,142.337567817,118.821182708,142.337567817,111.604267305,119.390610789,141.093860596,119.390610789,135.508141609
GEMIN8,42.4547978006,35.4304211783,42.4547978006,38.340457621,30.4841051773,35.8418873721,30.4841051773,31.4169821391
GEN1,83.8904489798,120.611580863,83.8904489798,68.5714832041,77.7372212404,55.7303648129,77.7372212404,54.7615572706
GET4,41.2832372994,35.4065952336,41.2832372994,38.3490393797,41.5979384097,40.1170879893,41.5979384097,41.5466326836
GET4 ,128.926226752,138.35025178,128.926226752,135.734146051,148.707318566,175.401462633,148.707318566,172.052679293
GFAP,14.5488099464,13.164926617,14.5488099464,11.9450731931,13.1675515337,15.088504627,13.1675515337,12.9903273756
GFER,30.7780624164,29.5106679878,30.7780624164,29.626558816,28.9413166509,27.1401999762,28.9413166509,29.9327528722
GFI1,15.2330914736,14.1681257543,15.2330914736,13.4748103498,14.6844439724,14.392109553,14.6844439724,14.8455195928
GFI1B,21.5614963419,21.0356187798,21.5614963419,21.4158196716,21.040843438,19.1027493087,21.040843438,20.62907166
GFM1,156.891359205,151.969306707,156.891359205,116.780850631,126.90175119,145.615227047,126.90175119,122.894970027
GFM2,318.418511745,293.848665848,318.418511745,295.083079722,289.948186074,260.559295082,289.948186074,208.001688221
GFOD1,164.456878831,176.053455305,164.456878831,173.845717588,180.543281458,228.447802219,180.543281458,156.891359205
GFOD2,53.7240324775,46.8916188869,53.7240324775,44.2887329373,46.1442712061,54.3406038956,46.1442712061,45.4484650943
GFPT1,297.773085116,306.584415053,297.773085116,575.573578446,224.603865935,243.426449068,224.603865935,548.364897234
GFPT2,13.593262068,14.8423078258,13.593262068,14.8356606225,16.2575239184,16.4553501885,16.2575239184,17.0403285145
GFRA1,18.5510016229,16.1859158814,18.5510016229,17.7027996117,16.8205389178,17.7826337302,16.8205389178,18.655524376
GFRA2,24.3541347782,20.3225257732,24.3541347782,22.3642261312,22.8756099477,23.5313985461,22.8756099477,21.8782443165
GFRA3,16.3358787862,17.2329021382,16.3358787862,15.2014180233,16.3672651047,16.6818093409,16.3672651047,19.3181312707
GFRA4,14.88117247,16.8123494131,14.88117247,15.8383067518,16.0200141483,15.1316281702,16.0200141483,17.7748411686
GGA1,77.3510561823,81.8316055471,77.3510561823,76.6236898798,93.3557973464,102.897218369,93.3557973464,103.350703157
GGA2,103.646804787,89.2935630717,103.646804787,80.5311498572,82.8196078993,70.3923865946,82.8196078993,63.7414675122
GGA3,48.5790549229,52.5248768657,48.5790549229,46.7603317356,51.455718159,52.6647944348,51.455718159,62.8959949637
GGCT,967.379910908,1293.91938329,967.379910908,1109.45374055,1223.6845942,1385.11783752,1223.6845942,1072.81010578
GGCX,118.215453558,128.637465534,118.215453558,128.637465534,103.748309463,131.368542313,103.748309463,129.325872923
GGH,367.961762787,644.738183176,367.961762787,718.596421663,343.195562652,775.291217288,343.195562652,551.015544943
GGN,15.423558578,14.8482155756,15.423558578,15.3410525166,14.3823692012,14.891722825,14.3823692012,14.4060162239
GGNBP2,81.9938470403,77.9569271024,81.9938470403,83.5100431483,84.4596749272,80.1902322539,84.4596749272,93.1220159978
GGPS1,228.323882612,251.390199521,228.323882612,315.923752576,256.073668102,217.671708695,256.073668102,284.022896064
GGT1,39.4202272787,43.8943543864,39.4202272787,37.1305358435,55.938615525,64.8808898887,55.938615525,36.3959034825
