SYMBOL,Norm.y.2,Tumour_24h_2millimol_Metformin_hydrochloride,Norm.y.3,Tumour_24h_4millimol_Metformin_hydrochloride,Norm.x.3,Tumour_48h_2millimol_Metformin_hydrochloride,Norm.x.4,Tumour_48h_4millimol_Metformin_hydrochloride
NPM3,236.507854166,258.744180505,236.507854166,275.188764833,103.078369934,159.365898176,103.078369934,104.447094449
NPNT,12.8497738973,13.2387518837,12.8497738973,12.9336752349,13.7859922444,15.4641062832,13.7859922444,15.6757457152
NPPA,23.5595721122,29.4023093843,23.5595721122,28.3870631683,23.6591249019,25.2035722921,23.6591249019,23.7975477925
NPPB,16.1733682273,18.4884893648,16.1733682273,15.2074826317,14.5163242759,17.9761460408,14.5163242759,17.5294672645
NPPC,14.1271568316,12.6892491335,14.1271568316,14.640143488,11.6277372069,13.0581124982,11.6277372069,14.0473416388
NPR1,23.8812003501,21.156286485,23.8812003501,23.7755547521,20.8939929889,21.8398781888,20.8939929889,21.0972977313
NPR2,22.799390404,23.6625719106,22.799390404,24.9364451044,23.095981561,20.8339920267,23.095981561,20.8868218419
NPR3,14.795820991,18.3139814289,14.795820991,15.8764027493,17.1978863167,16.2791874871,17.1978863167,17.0450392143
NPRL2,57.0831074609,58.7413156051,57.0831074609,60.2465441288,61.3308725937,70.122687503,61.3308725937,69.7766400507
NPRL3,35.1262144115,29.8634922555,35.1262144115,30.1793590193,37.2776070521,36.3640701254,37.2776070521,43.4693068315
NPSA,15.5016889047,15.3848747358,15.5016889047,13.941634869,14.1860685588,17.5754248303,14.1860685588,18.0611862883
NPTN,2619.16158518,2546.82293635,2619.16158518,2601.3647442,2570.11101927,2498.23721581,2570.11101927,2601.3647442
NPTX1,32.7967086665,35.8792296292,32.7967086665,30.9633793208,33.319307221,27.7713383532,33.319307221,37.0494836901
NPTX2,17.2309245512,13.8033865617,17.2309245512,13.7433292073,14.7136565427,13.4755577363,14.7136565427,14.1738105633
NPTXR,16.4585698871,15.4696619686,16.4585698871,17.6816958925,17.0943745099,16.3458383912,17.0943745099,18.3319753442
NPVF,12.2371124626,10.9484444355,12.2371124626,10.5775111362,11.24093947,10.7641626341,11.24093947,10.0795898456
NPW,12.5954303942,12.5905974276,12.5954303942,11.3552379162,11.5726859696,11.9769684781,11.5726859696,11.340694652
NPY,14.5848438221,14.102024869,14.5848438221,12.7450699422,15.0479637139,12.6559474815,15.0479637139,12.7440150952
NPY1R,13.1130115821,11.9870036817,13.1130115821,10.6019781783,11.6841203497,11.9167241504,11.6841203497,12.4572089205
NPY2R,16.4952904429,16.8331904575,16.4952904429,16.30957773,16.5527051736,16.91946696,16.5527051736,15.9394163895
NPY5R,16.2287069187,18.4354495373,16.2287069187,15.9689916249,20.8360573825,17.6379875034,20.8360573825,15.9845352195
NPY6R,14.9011022001,16.3665717191,14.9011022001,17.0274732483,18.7932940562,16.8590799769,18.7932940562,15.7771715976
NQO1,516.440601511,634.119061425,516.440601511,684.87907635,546.535275332,567.410704465,546.535275332,527.711707428
NQO2,157.155281494,195.071886079,157.155281494,212.466752691,228.899999717,362.912280825,228.899999717,321.608127759
NR0B1,14.6696929604,14.4632931064,14.6696929604,12.6733896561,16.5329709736,15.0172394935,16.5329709736,15.059381639
NR0B2,29.1846004953,25.1503676075,29.1846004953,27.9907525236,23.8884493162,25.0872482054,23.8884493162,25.5422523826
NR1D1 ,44.5366663407,45.0630546167,44.5366663407,45.4393250002,47.8126014504,57.3566158382,47.8126014504,64.4132881369
NR1D2,115.855649617,115.467015419,115.855649617,119.351732036,88.5615933804,296.133014349,88.5615933804,394.438665011
NR1H2,53.3389228571,59.7070756903,53.3389228571,50.334256432,43.5323847783,70.0695817915,43.5323847783,70.5322872042
NR1H3,39.4435130787,45.4602101618,39.4435130787,57.8447402739,39.3964660764,40.3404744228,39.3964660764,42.2046825316
NR1H4,15.6149793026,16.3966491255,15.6149793026,16.0632735748,15.9485921123,16.0127118521,15.9485921123,16.2659944138
NR1I2,24.9497398371,25.2683272259,24.9497398371,25.7824005431,25.2606658055,28.6010090096,25.2606658055,27.1989137296
NR1I3,21.2250289183,20.4310599957,21.2250289183,20.5559164279,21.2054223225,21.7945315236,21.2054223225,20.9346306977
