SYMBOL,Norm.y.6,Tumour_24h_01micromol_Retinoic.acid,Norm.y.7,Tumour_24h_1micromol_Retinoic.acid,Norm.x.7,Tumour_48h_01micromol_Retinoic.acid,Norm,Tumour_48h_1micromol_Retinoic.acid
IL1F6,23.7763462878,21.8077644887,23.7763462878,25.4861158489,18.3578001513,23.2764636828,18.3578001513,20.0713064998
IL1F7,26.523622631,22.0513809909,26.523622631,21.4623058946,25.3754120792,22.8966390074,25.3754120792,21.6741372988
IL1F8,13.7489614976,13.5602932388,13.7489614976,14.0155327078,14.9590103434,14.6957388542,14.9590103434,15.0509279677
IL1F9,88.6723044403,301.74564219,88.6723044403,352.009183566,359.033947781,396.003134266,359.033947781,317.987662564
IL1R1,46.5729456057,40.1763645057,46.5729456057,40.5042083516,45.1079312812,45.0026343803,45.1079312812,39.5696596135
IL1R2,29.3230896955,21.9818358602,29.3230896955,20.1890204305,20.7616982403,15.2703097638,20.7616982403,15.908722011
IL1RAP,286.006464104,217.084828619,286.006464104,212.296931489,170.522921317,162.636568161,170.522921317,174.379339902
IL1RAPL1,16.5007108886,23.306024185,16.5007108886,17.6875696697,14.9741746965,19.7378235828,14.9741746965,22.2164915167
IL1RAPL2,16.8997130093,15.0473067431,16.8997130093,15.6291952705,14.8585168525,15.321082324,14.8585168525,16.2221648346
IL1RL1,26.9647498463,29.6803215293,26.9647498463,33.7999449473,30.6479496815,29.180427174,30.6479496815,30.5775797395
IL1RL2,24.3927666887,22.5919914842,24.3927666887,23.1435582632,22.6154959412,26.6339976761,22.6154959412,22.9121130962
IL1RN,99.325158596,120.611580863,99.325158596,112.628490608,165.55141895,137.085256438,165.55141895,126.223351172
IL2,12.7050106269,12.7718318775,12.7050106269,13.453473982,10.8080632174,11.9035577046,10.8080632174,11.8418716397
IL20,22.2264085347,31.4431795798,22.2264085347,29.4321642936,92.3284357383,55.5059956423,92.3284357383,42.0714859439
IL20RA,18.71443727,17.2408614154,18.71443727,18.6353650275,17.3670046534,16.8834885721,17.3670046534,17.764112955
IL20RB,1504.29983778,1368.74145651,1504.29983778,1335.80141917,2195.68035568,1681.82714395,2195.68035568,1568.57556844
