SYMBOL,Norm.y.1,Tumour_24h_5micromol_Capryloylsalicylic_acid,Norm.y,Tumour_24h_10micromol_Capryloylsalicylic_acid.y,Norm.x.2,Tumour_48h_5micromol_Capryloylsalicylic_acid,Norm.x.1,Tumour_48h_10micromol_Capryloylsalicylic_acid
COG4,144.987473216,159.11413125,144.987473216,151.077105049,156.19675923,185.092949802,156.19675923,144.390220249
COG5,230.616785651,243.693178273,230.616785651,295.784532145,176.767092436,213.975800627,176.767092436,331.486562138
COG6,96.0316769412,85.3129107024,96.0316769412,102.06068852,95.9366652897,97.9826994145,95.9366652897,118.875930188
COG7,124.216703262,114.054612216,124.216703262,113.131140432,117.001915539,105.862118012,117.001915539,124.47894236
COG8 ,246.04434414,302.437358593,246.04434414,312.811977485,234.444813629,247.969616774,234.444813629,284.598507593
COIL,238.163916432,217.336032996,238.163916432,214.407457169,224.473621314,209.94397362,224.473621314,191.666276113
COL10A1,16.8703806057,17.6363896934,16.8703806057,16.9932991495,16.375358777,16.4190143472,16.375358777,15.9268926822
COL11A1,12.798965082,12.3627882692,12.798965082,13.5423041478,12.920086455,12.649242501,12.920086455,12.7911300046
COL11A2,23.7094502529,22.1629895399,23.7094502529,22.0390634152,26.9181589536,28.9803017581,26.9181589536,26.1770139196
COL12A1,320.851565433,253.267257928,320.851565433,220.623559095,231.432238328,162.526881319,231.432238328,139.559453982
COL13A1,52.924857695,49.4507270462,52.924857695,47.8126014504,38.8529118192,46.2367609411,38.8529118192,54.0938314506
COL14A1,12.7437160811,12.4849413921,12.7437160811,14.2608552827,14.2301184971,12.89994825,14.2301184971,14.7555026305
COL15A1,13.6996607196,17.5516410842,13.6996607196,15.656699618,14.7313121487,15.4001384362,14.7313121487,15.2804603599
COL16A1,163.145286634,162.331534539,163.145286634,169.588588599,159.813745617,223.653390697,159.813745617,252.563836222
COL17A1,1701.58363758,1614.81773018,1701.58363758,1706.99211524,1935.71823692,1644.96548389,1935.71823692,1596.95292449
COL18A1,216.423227283,242.051337637,216.423227283,229.468024318,281.46311323,243.864725971,281.46311323,213.07778118
COL19A1,12.5321634572,12.9013704505,12.5321634572,14.2492790486,13.6863453381,13.4960858632,13.6863453381,14.0636475165
COL1A1,30.2493669536,36.87473172,30.2493669536,41.0905734224,50.250954085,53.1038657279,50.250954085,45.6805480134
COL1A2,19.1979328152,17.8071191419,19.1979328152,15.5936570804,17.3361120152,17.4253080194,17.3361120152,17.9320698725
COL20A1,17.0242640091,17.0059364764,17.0242640091,17.2417341575,17.4012401839,17.3208223904,17.4012401839,20.6271455585
COL21A1,23.108734511,24.1315537759,23.108734511,24.5593415627,25.1383371894,24.766019409,25.1383371894,35.3716844077
COL22A1,64.1977622637,72.0728487789,64.1977622637,64.4240352181,62.8508929933,62.3253978513,62.8508929933,54.2512171889
COL23A1,19.8726208597,12.4653858448,19.8726208597,13.9520884147,17.5463589837,13.4055488889,17.5463589837,15.989883347
COL24A1,11.0830509881,10.1020105981,11.0830509881,10.2565837399,9.76489822092,10.8231870331,9.76489822092,9.91552019915
COL25A1,17.2071343784,17.3009583095,17.2071343784,17.1722767612,17.7159302897,18.4582547355,17.7159302897,17.4152147524
COL27A1,53.7490874686,59.7070756903,53.7490874686,62.5260207462,78.5110087017,84.7209869895,78.5110087017,62.6279067852
COL28A1,14.4278601464,12.9111370044,14.4278601464,13.8491837824,13.3887000812,13.1654206036,13.3887000812,12.9934984965
COL29A1,11.4424258889,11.9769684781,11.4424258889,12.0297049685,12.2647761228,12.8954746597,12.2647761228,12.9121518897
COL2A1,16.096637276,13.1041210371,16.096637276,14.8742124961,14.4632931064,13.8550496321,14.4632931064,13.5078738776
COL3A1,13.3682074858,13.9915706012,13.3682074858,14.2181130336,13.728235781,13.1846031753,13.728235781,14.1882848086
COL4A1,347.819155138,284.338242375,347.819155138,194.065796198,316.74036295,166.535752915,316.74036295,107.431411543
COL4A2,273.2187918,236.627515422,273.2187918,207.03198539,257.071786112,169.342259729,257.071786112,106.09975954
COL4A3,15.3925523067,14.5850934652,15.3925523067,14.4552254567,14.1184421182,15.5077713474,14.1184421182,15.3299555834
COL4A3BP,273.870324334,242.730794864,273.870324334,263.820581392,302.589489353,288.220118762,302.589489353,296.133014349
COL4A4,15.7123198923,14.1122886105,15.7123198923,15.2415867606,15.3564517262,14.3369172704,15.3564517262,15.0706602539
COL4A5,116.094820055,130.995382038,116.094820055,123.88331481,133.104910997,133.329302046,133.104910997,107.467370504
COL4A6,101.339367303,115.496689273,101.339367303,88.7083528969,137.085256438,116.348615098,137.085256438,69.599127426
COL5A1,48.6106936371,53.4252586472,48.6106936371,58.2810663874,68.0073202928,55.7383124234,68.0073202928,42.3127627369
COL5A2,229.383977404,256.747185086,229.383977404,140.408517516,450.665689495,213.371473358,450.665689495,65.1225192936
COL5A3,21.669699789,21.3842696945,21.669699789,22.639522558,23.5775420093,31.5067978317,23.5775420093,19.6306572986
COL6A1,16.5800043453,16.1056106764,16.5800043453,16.503898315,19.1884887428,18.2377733929,19.1884887428,17.3670046534
COL6A2,26.0714041408,28.157040703,26.0714041408,29.0031411093,26.8982915735,28.0670170048,26.8982915735,28.4861348179
COL6A3,16.3944657043,19.4466364595,16.3944657043,19.2096400825,19.3959776033,20.0519130021,19.3959776033,21.4110926835
COL6A6,14.5750815478,16.823435018,14.5750815478,15.981917334,17.4154721912,15.6235784651,17.4154721912,16.2674274455
COL7A1,319.848000142,403.89346853,319.848000142,362.415514461,404.275300056,393.828845363,404.275300056,268.405970348
COL8A1,15.4270526181,13.0230879815,15.4270526181,13.295910931,13.3908240442,11.8991007952,13.3908240442,11.7761734882
