SYMBOL	SPT1657_SPT1663	SPT1658_SPT1664	SPT1659_SPT1665	SPT1660_SPT1666	SPT1661_SPT1667	SPT1662_SPT1668
EIF2S3	1849.49146056699	1674.81990834595	1722.30285625123	1394.61772760862	1846.70175723919	1589.77974585935
EIF3A	608.215354039226	611.046881058772	502.693945655091	437.971627070846	716.845746256821	682.264198878212
EIF3B	4841.87124980246	4328.02638025034	4054.83690289871	4052.37101734909	4604.90995907219	4432.1132308806
EIF3C	1819.67698242781	1689.05098563407	1710.35427350221	1489.82895088489	1932.18767238189	1544.20866387321
EIF3CL	1819.67698242781	1689.05098563407	1710.35427350221	1489.82895088489	1932.18767238189	1544.20866387321
EIF3E	2291.7395529648	2113.31497728623	1761.56248528371	1454.46478223941	2788.0767745937	2020.75197835684
EIF3G	1785.88724053675	1788.66852665093	1500.40060519805	1352.90614407806	1942.48718023041	1592.38380768713
EIF3I	2167.51256071822	1732.63365982895	1433.82992988209	1445.39704668929	2184.52561467057	1959.55652540403
EIF3J	2849.27029416742	2399.71540770971	2455.43375492308	2526.27112426372	2996.12683313375	2351.46783048483
EIF3K	3391.89379630045	3190.42963953103	2889.85008486951	2817.34543542261	3991.05929130055	3317.574768591
EIF3M	5264.24302344082	4746.95371791946	3721.13005612258	3117.48748213161	6624.64344816648	5261.50692302835
EIF4A1	2175.463088222	2156.89765148111	1653.1717703462	1469.87993267462	2470.85193285936	1915.28747433178
EIF4A2	8882.72685359902	8431.02385088225	8407.53490432649	7961.47181300627	9397.2709609874	8528.30248597766
EIF4A3	464.1120430332	515.876551694451	505.254356244166	474.24256927133	568.532833238168	486.959561794755
EIF4B	6766.89272165537	6733.9678842736	6096.33761258797	5985.6122366349	7438.30456819937	6213.29152108174
EIF4E	5887.36561654963	5636.39604842713	4880.99605297363	5281.95595794551	6456.76147023564	5662.53244450639
EIF4EBP1	1545.38378354738	1401.76111288009	1269.96365218128	1256.78814724678	1573.76479925348	1485.61727274817
EIF4G1	11874.1128268965	11477.363832871	9279.78144500476	8413.95181695731	13584.0209014098	11908.3747384354
EIF4G2	4073.65152974965	3957.12892842864	3968.63641306651	4083.2013182195	3464.7544402413	3325.38695407434
EIF4G3	5366.60606505199	5075.15793787679	4901.47933768623	4799.55242667907	5508.17679738718	4922.97888541703
EIF4H	3965.32559251064	3930.44565851341	3480.45146074951	3470.22239503132	3905.57337615785	3695.16373361902
EIF5	2096.95162912217	1677.48823533747	2009.06884222765	1560.55728817583	1776.66510386928	1259.06389373136
EIF5B	1851.47909244294	1499.59976923594	1427.85563850758	1394.61772760862	2023.8532922337	1581.96756037601
ELAC1	3583.70027232916	3403.89579885287	3187.71118339858	3062.17429527588	3878.7946557517	3607.92766238841
ELAC2	1525.50746478793	1590.32288694772	2848.8835154443	2758.40515434682	1095.86763508227	846.320094028317
ELANE	2969.5220226621	3055.23440529386	2461.40804629759	2879.91281071844	3264.94398798006	2813.68880491568
ELAVL1	6301.7868626842	6176.28754304529	5518.53828965334	5145.03315113868	6782.2259182488	5739.35226842588
ELAVL2	16161.4347833103	15628.3911893503	14238.443285847	13315.9696553527	17631.7274858772	15236.3657543375
ELAVL3	3230.89561434889	3313.17268114109	2889.85008486951	2918.90407358396	3627.48666424788	3516.78549841613
ELAVL4	10252.2052161253	10333.5409958382	9722.73247691477	9603.63872113319	10921.598122568	9394.15304371432
ELF1	5596.17754672366	5446.944832029	4768.33798705432	4429.58881623413	6395.99437392939	5045.36979132266
