SYMBOL,Tumour_GSM508549.ERN.HER2N_RES,Tumour_GSM508559.ERP.HER2N_RES,Tumour_GSM508581.ERN.HER2N_RES,Tumour_GSM508582.ERN.HER2N_RES,Tumour_GSM508585.ERN.HER2N_RES,Tumour_GSM508587.ERN.HER2N_RES,Tumour_GSM508590.ERN.HER2N_RES,Tumour_GSM508592.ERN.HER2N_RES,Tumour_GSM508632.ERN.HER2N_RES,Tumour_GSM508634.ERP.HER2N_RES,Tumour_GSM508668.ERP.HER2N_RES,Tumour_GSM508669.ERN.HER2N_RES,Tumour_GSM508671.ERN.HER2N_RES,Tumour_GSM508672.ERN.HER2N_RES,Tumour_GSM508673.ERP.HER2N_RES,Tumour_GSM508776.ERN.HER2N_RES,Normal_GSM556167,Normal_GSM556168,Normal_GSM556169,Normal_GSM556170,Tumour_GSM508567.ERP.HER2N_NRES,Tumour_GSM508654.ERP.HER2N_NRES,Tumour_GSM508674.ERP.HER2N_NRES,Tumour_GSM508675.ERN.HER2N_NRES,Tumour_GSM508676.ERP.HER2N_NRES,Tumour_GSM508677.ERP.HER2N_NRES
COL24A1,5.7037780942000555,3.0885431128753886,4.339479291797148,3.309784372156599,3.552915190214223,2.780566105154157,2.4867940755769844,2.659401758342718,4.3878938530741,4.1675730222866925,2.5138017382045232,5.006146973996282,3.003386568588787,3.1979833112616545,2.8860770505223052,4.709790970475467,4.053343254610571,2.5732754116722294,2.3974036512740935,2.6665290230622176,3.84703745994866,3.440097838463406,3.0464383671509747,4.151657378723182,2.739920276753545,4.12420226315327
COL25A1,2.046614307012783,4.415360213980274,2.0849431843214044,3.5169847615393013,3.4890380850539304,3.7975383940510428,4.2278099539077925,2.62791974841039,2.5634405377760605,3.5299526538993415,3.1445365877180325,2.7117509195069376,4.024007732379916,4.553920700122104,7.500207383734333,2.8486975997298214,4.559845605074364,2.77907202651186,2.788389532513799,2.787708696718954,5.682697071396988,4.177473038828651,2.741438767947598,6.269859843515937,3.7823378732925637,3.246219760321416
COL27A1,3.901116833929464,3.7782941254421316,4.247645880899155,3.389153034670422,8.800217264655247,4.49663946375203,3.5265208488378765,3.9711477930018044,3.7726346212241344,3.286441212548744,5.686072012704797,4.420499184196273,4.1141201046689595,3.9147901896130795,6.157336596452423,3.2202494956035657,4.515288463869014,4.086454623326967,4.031879490488774,3.8509712710296022,3.555129383660919,4.216033211072084,5.392143188060042,4.404155319369154,5.346606182286744,4.06228541332478
COL2A1,2.2178014591468553,20.61079178649492,1.9466165086657488,2.478332953878016,2.1147174919112928,2.353429482273558,1.9676375518028748,3.1493671510011425,1.9080976933437415,2.4398561860645285,2.316058317507968,2.043401321800527,1.7269933873375156,10.003187913742442,2.398343488141175,1.7753057940429937,2.5624686873042344,2.3932219876355556,2.279870851451376,4.102999544879673,2.218673245271851,2.763868594527868,3.6921330138155786,2.710207639283189,2.801149000706119,1.728008249050284
COL3A1,22.193493816598536,27.743722871695947,20.831420770855097,29.914315339451377,13.086862502231625,15.68380531225719,30.868135906346772,15.946948267753278,21.98687220173639,32.04400273098698,15.027912893737842,16.161269624018455,18.203507835651294,41.251725425467725,36.185674059406914,16.358261364559734,12.95478151598508,13.008380580775214,16.160588458099564,17.137845744522043,29.971437960841087,29.40076700888444,15.623160259610124,20.83148772735044,15.813049409121401,19.84139202940189
COL4A1,9.85561667044745,4.415819030947756,7.7116814524078,8.979852135658177,6.647193144322701,3.5711066623637193,6.988478956271971,6.111592490552934,5.985029721754087,6.3936114860477815,5.592883248643545,7.036927378205186,7.28565984483502,9.592530136957745,7.150138657205058,4.578391414251195,7.2216097892495,3.5563869362919567,6.688806622113657,6.088868521355687,6.102245202653683,6.711950854457766,3.452394205550017,5.990218357515985,9.331600188735592,7.439598702024436
COL4A2,9.362243889757409,4.348116726865191,6.105559588547642,8.556902574009646,5.357833239083968,2.3938891383548593,7.578666645563257,6.426928440920877,7.322398308766641,5.760106665311999,4.28043242593641,5.822141502422114,6.680957954180925,8.04459663517261,7.410910566424594,4.458764923668732,9.419669676495785,3.5745922430877255,7.3298892254426615,6.898466612667221,5.3932490909186726,5.735505866939889,2.516227789639316,5.891370770609232,13.724215286671136,6.640438007580702
COL4A3,3.2504321719639635,4.0316303715552335,3.0140908942510944,4.123362340837612,2.454609110003752,3.128379649291827,3.232967609221744,2.5707656135701513,3.579823830902028,4.40795669928744,2.9262443342579605,3.019726856370799,3.9156233660351902,5.354763221616514,6.307910364661729,3.072211441076266,6.6371919914654125,3.493694236463902,3.8435038037196674,4.282597422849503,3.0476376237660046,3.248048053833318,2.737503944701814,6.705765284127062,4.864770149607183,2.7081388833257463
COL4A4,2.356113937807096,2.8641083896828916,4.036905850099662,8.78946562374108,5.120685439363713,3.998703282325065,2.776057397395639,2.6477107067953423,3.990935219202744,3.3814232856534594,3.654405395405001,2.1316119230977586,5.395142196298048,8.930382316212322,3.1862490152286274,1.1880595553085502,2.1949774723513786,3.8260589007069683,5.014924370321819,5.502908518420034,2.9254643196352896,2.357134889862133,1.6401385261924175,3.0086757021716726,3.1353172115136236,2.505696016696134
COL4A5,3.013418754076782,3.079128758209358,4.530545433809971,2.700802073028476,3.8515260541328056,1.7163002637728557,2.467817860441354,3.687031244314948,2.0690986805591547,3.471541340703451,2.2798363317675374,2.2208151537861958,2.8203282849149867,2.73112734350631,2.41545896036983,2.21512386412763,2.65715370119102,3.353171996468139,2.6369767491328413,3.2821370156769865,4.945782686242204,3.1037845958733525,5.247844173522364,3.929515760548185,2.2474410021116347,3.144895203121721
COL4A6,0.9758084348403673,1.4729592184630453,2.12391302719472,1.0844784003069126,2.8905159435881322,0.8223468616690515,0.9736530795527438,1.7574614851425865,0.9948829558265514,1.0376454558938122,1.0623608913750555,0.8294696544656349,0.6943028303745354,0.9601992030708165,1.3866518692486893,1.0765949035330646,1.9812248766805607,3.514933984579623,2.3835281055236326,3.5456853492078717,1.8305485693355208,1.5144328846050885,1.507888036507742,5.626436095730421,0.9849657944602768,0.9164482761645178
COL5A1,4.867024953251446,2.7425799109252953,3.755537567529814,4.920437551378673,3.565488032991342,2.0296101057052205,3.0054161699925395,2.2434547710708945,3.6215208991363594,5.563553048362985,1.8866871325196262,4.7737754588466,4.018331452328202,6.073947750206646,3.955805057851787,4.841197682487523,2.422517210329726,1.821297259701808,3.553055199228998,3.3840734726155723,5.382007813765978,5.973616494963529,3.466058578801559,8.82782771896057,3.4237486537875217,3.321341571246616
