Pathway,AMCF,genes
Androgen_receptor_Pathway_Cell_Survival_._Cell_Growth,0.0,CALM1 CALM2 CAMK4 MAP2K1 MAP2K2 MAP2K3 MAP2K4 MAP2K5 MAP2K6 PRKACA PRKACB PRKACB PRKAR1A PRKAR1B PRKAR2A PRKAR2B PRKCA PRKCB PRKCD PRKCE PRKCG PRKCH PRKCI RPS6KA1 RPS6KA2 RPS6KA3 RPS6KA4 RPS6KA6 
Androgen_receptor_Pathway_Gonadotropin_Regulation,0.0,AR CAV1 CTNNB1 ELK1 FOS GTF2B GTF2E1 GTF2E2 GTF2F1 GTF2F2 GTF2H1 GTF2H2 GTF2H3 HAT1 HNMT JUN NFKB1 NFKB2 POLR2A POLR2B POLR2C REL RELA RELB SP1 SRF SUMO1 SUMO2 SUMO3 TAF2 TBP 
Androgen_receptor_Pathway_Histone_Modification,0.0,AR CAV1 CTNNB1 ELK1 FOS GTF2B GTF2E1 GTF2E2 GTF2F1 GTF2F2 GTF2H1 GTF2H2 GTF2H3 HAT1 HNMT JUN NFKB1 NFKB2 POLR2A POLR2B POLR2C REL RELA RELB SP1 SRF SUMO1 SUMO2 SUMO3 TAF2 TBP 
Androgen_receptor_Pathway_Prostate_Differentiation_._Development,0.0,AR CAV1 CTNNB1 ELK1 FOS GTF2B GTF2E1 GTF2E2 GTF2F1 GTF2F2 GTF2H1 GTF2H2 GTF2H3 HAT1 HNMT JUN NFKB1 NFKB2 POLR2A POLR2B POLR2C REL RELA RELB SP1 SRF SUMO1 SUMO2 SUMO3 TAF2 TBP 
Androgen_receptor_Pathway_Sexual_Differentiation_._Sexual_Maturation_at_Puberty,0.0,AR CAV1 CTNNB1 ELK1 FOS GTF2B GTF2E1 GTF2E2 GTF2F1 GTF2F2 GTF2H1 GTF2H2 GTF2H3 HAT1 HNMT JUN NFKB1 NFKB2 POLR2A POLR2B POLR2C REL RELA RELB SP1 SRF SUMO1 SUMO2 SUMO3 TAF2 TBP 
ATM_Pathway,-0.5,ABL1 AP3B2 ATF2 ATF4 ATM BID BRCA1 CCNB1 CCNB2 CCNB3 CDC25A CDC25C CDK1 CDK2 CDKN1A CHEK1 CHEK2 CREB1 CREB3 CREB3L4 FANCD2 GADD45A GADD45B GADD45G H2AFX JUN MAPK11 MAPK12 MAPK13 MAPK14 MAPK8 MDC1 MDM2 MDM4 MRE11A NBN NFKBIA RAD50 RAD51 RAD9A SMC1A SMC2 SMC3 TLK1 TP53 TP53BP1 TP73 
ATM_Pathway_Apoptosis,0.0,ABL1 ATM TP73 
ATM_Pathway_Apoptosis_._Senescense,0.0,ATM CHEK2 MDC1 MRE11A RAD50 TP53 
ATM_Pathway_Cell_Cicle_Checkpoint_Control,0.0,ATM BID MRE11A RAD50 TP53BP1 
ATM_Pathway_Cell_Survival,0.0,ABL1 ATF4 ATM CREB1 CREB3 CREB3L4 JUN MAPK11 MAPK12 MAPK13 MAPK14 MAPK8 MRE11A RAD50 TP53BP1 
