SYMBOL,Tumour55.AVG_Signal,Tumour56.AVG_Signal,Tumour60.AVG_Signal,Tumour64.AVG_Signal,Tumour66.AVG_Signal,Tumour68.AVG_Signal,Tumour69.AVG_Signal,Tumour72.AVG_Signal,Norm_1_AVG_Signal,Norm_2_AVG_Signal,Norm_3_AVG_Signal
"MYBPC3",148.2523,195.0264,149.1721,159.6371,164.6162,148.8762,125.4965,165.7519,42.5,46.4,45.7
"MYBPH",125.2463,148.4749,105.2386,117.171,132.4001,112.8294,125.3187,136.9486,42.4,45.8,43
"MYBPHL",109.0483,141.054,105.1259,120.5361,112.9908,121.3579,108.6489,122.7713,38.6,35.9,34.4
"MYC",385.1798,688.6524,308.2311,331.0485,354.4614,1742.661,695.2059,460.0265,88.55,140.3,219.6
"MYCBP",121.8241,189.1456,137.5788,175.823,155.1434,115.819,140.7607,157.6775,47,51.5,60.7
"MYCBP2",403.02,458.4602,422.8449,444.1292,592.7204,351.1809,938.3002,715.4958,210.4,321.1,282.5
"MYCBPAP",118.2594,135.3862,107.8947,110.4961,109.6577,106.761,103.979,134.0984,48.7,47.9,46
"MYCL1",133.9159,155.4693,189.3318,170.8398,158.416,123.3286,130.953,146.6367,40.1,53.4667,44.4667
"MYCN",785.695,343.3193,148.2318,310.9193,1027.903,153.3442,248.8509,302.198,67.3,67.8,55.25
"MYCT1",136.0578,165.5548,136.188,144.6684,143.0274,138.5476,116.5928,142.7189,45.05,48.6,47.05
"MYD88",631.3516,412.5253,456.3808,416.7133,404.9801,235.9519,575.8096,368.3481,159.2,157.8,198.4
"MYEF2",130.3775,158.9314,140.1314,173.1162,131.8748,138.9194,113.6271,165.4001,36.1,41.9,37.2
"MYEOV",169.992,119.2763,100.4363,109.502,106.4533,109.1689,111.4105,137.5802,40.5,38.7,40.9
"MYEOV2",113.5013,133.5106,111.979,111.0406,108.2968,115.7818,121.1965,115.1671,41.5,47.3,42.9
"MYF5",134.8488,176.4662,137.0451,150.5893,127.3499,136.3335,121.2972,164.7818,39.35,43.85,43.8
"MYF6",136.0035,156.9384,147.1211,126.5096,146.139,129.8802,123.9073,136.2825,46.7,42.85,41.4
"MYH1",115.9664,145.8816,123.2413,129.3679,117.1095,112.7549,114.7135,133.0549,42.95,40.85,46.55
"MYH10",885.8679,809.2008,499.2764,453.1743,696.863,898.5476,222.6802,429.5632,538.5,540.3,505.3
"MYH11",183.4359,742.8835,127.9902,743.8462,1264.351,367.7856,193.4784,424.8117,12410.85,14200.2,13392.75
"MYH13",118.6889,166.4483,118.9966,138.7994,128.8206,127.2567,98.19364,132.8755,37.9,41.5,38.6
"MYH14",573.7293,166.212,188.8277,149.4046,188.2215,117.7066,290.8491,156.3056,92.8,101.7,67.9
"MYH15",128.7678,143.2012,139.0204,145.5117,139.001,111.7689,113.9854,125.5337,42.7,51.8,44
"MYH16",121.6938,145.0439,120.7956,121.7746,122.6236,120.5406,109.2351,120.6829,43.4,45.35,42.95
"MYH2",133.5969,161.146,139.2942,129.3057,160.6307,123.614,119.1686,125.8877,48.1,39.2,216.1
"MYH3",113.9353,144.3035,95.78767,215.3385,151.2128,118.9369,117.4286,104.8114,139.4,174.9,612.2
"MYH4",130.4772,146.3256,125.2285,143.5456,138.4748,130.3831,115.1275,136.4233,65.1,57.8,71.9
"MYH6",155.2731,172.1066,147.565,162.732,161.5916,138.9265,130.5753,163.6358,41.1,44.2,41.5
"MYH7",127.1853,148.352,119.6381,137.5723,136.1764,119.3766,120.3342,133.986,52.6,48.6,43.4
"MYH7B",113.5805,132.3864,121.881,121.1636,115.8419,111.5002,121.2955,125.3338,41.9,40.3,38
"MYH8",100.3453,116.3146,99.32679,107.7174,101.0424,98.06568,94.69891,115.6922,38.4,45.4,42.1
"MYH9",6683.848,2941.956,2356.966,3351.157,3593.669,5309.295,4971.083,3132.244,1607.15,2198.85,1879.25
"MYL1",142.353,171.0071,148.942,149.1397,151.8503,144.6847,111.5242,151.8142,40.9333,46.4,38.6333
"MYL2",142.0342,155.2954,147.9352,204.0702,153.6998,136.6096,119.2274,149.9217,44.75,44.25,42.75
"MYL3",125.2003,154.3701,141.202,138.4882,144.529,135.2027,103.4443,150.6828,43.6,54,47.8
"MYL4",132.3322,143.7347,134.1878,135.4102,126.9753,128.1776,114.0878,132.5428,43.15,48,36.15
"MYL5",240.7081,226.685,358.0728,278.5929,289.8269,184.8814,202.3386,286.0303,187.2,227.4,138.15
"MYL6",11689.97,12516.46,14002.41,12923.42,13481.94,16673.82,13285.86,12831.88,10510.1,11500,13438.2
"MYL6B",1431.942,562.1639,1045.534,618.3,947.9373,950.3373,428.8088,1381.718,336,442.5,373.8
"MYL7",121.7974,147.6937,119.0081,117.2085,123.6467,115.6043,126.2849,117.923,41,45.7,47.6
"MYL9",203.194,229.7616,192.6839,201.8188,259.9885,224.0214,152.514,179.7816,1187.55,1413,1204.4
"MYLC2PL",132.4688,130.6362,143.7007,134.275,131.4189,130.5861,116.9528,142.8258,43.4,48.2,40.7
"MYLIP",1581.215,798.3886,3260.873,1712.137,2464.838,361.4527,2395.777,1981.362,191.7,343.6,206.9
"MYLK",149.9378,193.2308,138.032,184.3634,211.7021,191.9015,137.4676,164.0047,340.2667,416.2667,515.9667
"MYLK2",109.364,155.2635,118.4992,129.7293,124.3925,118.9508,119.1677,128.9458,43.4,47.4,33.9
"MYLK3",110.8163,132.2412,116.5272,109.505,109.4469,104.0626,102.4886,121.3412,39.2,43.4,37.6
"MYLPF",100.9427,116.0366,99.57852,107.6408,104.6395,100.518,102.7115,103.8696,42.9,41.5,41.1
"MYNN",203.4239,259.417,225.0439,268.4271,296.4262,177.006,229.3627,207.4178,60.3,71.9,72.75
"MYO10",327.1427,322.4981,302.4919,336.2744,389.169,354.7586,337.8733,241.7103,60.6,63.1,57.3
"MYO15A",133.6904,146.2879,117.579,153.6209,140.7488,132.3044,120.8669,148.4802,38.4,38.9,34.5
"MYO15B",125.9121,124.6939,120.327,148.9845,123.9155,119.9549,101.397,136.1002,36.5,43,46.4
"MYO16",121.4035,137.4721,106.8513,124.9053,122.36,108.3811,126.0021,124.7141,43.6,40.7,39.3
"MYO18A",287.6524,184.8446,161.6629,192.7336,194.1942,202.2971,177.7871,176.6929,54.65,64,52.85
"MYO18B",107.6978,125.5267,106.4229,113.7126,114.6846,106.3851,97.23959,103.91,40.4,42.8,37.6
"MYO19",148.2338,200.049,135.3569,168.0151,136.1125,136.8821,142.3733,156.2239,52.5333,62.0333,51.2
"MYO1A",141.7926,131.8749,114.3372,127.3114,116.5858,113.6331,112.0363,125.0225,51.6,49.5,46.6
"MYO1B",187.9816,380.4761,286.373,331.9196,302.3292,985.5058,297.4019,212.073,69.4,88.85,84.6
"MYO1C",302.4784,223.7443,154.911,197.8163,195.5536,223.9219,301.5963,240.0898,136.6667,160.8333,147.8667
"MYO1D",346.9987,193.955,264.7791,391.0826,235.8848,517.6957,623.8843,255.656,209.3,240.3,227
"MYO1E",170.37,152.4332,174.5188,156.465,202.608,190.9329,106.9936,167.9934,47,52.5,58.4
"MYO1F",172.5966,188.67,154.8021,176.9133,170.4928,158.5033,114.4217,176.221,52.5,61.6,48.4
"MYO1G",212.3897,161.3014,170.6188,192.9767,301.072,182.3773,128.8233,169.3548,59.5,97.1,58.6
"MYO3A",138.3861,146.4873,138.0939,126.9769,120.2024,119.8592,114.121,136.7433,34,39.3,43.5
"MYO3B",146.4047,408.5737,209.4648,339.4888,276.9539,242.2431,334.2682,243.8685,133.4,143.55,125.3
"MYO5A",176.5791,143.7243,154.9221,173.1407,186.2718,270.1753,154.0413,141.8319,70.1,61.4,68.9
"MYO5B",151.893,230.7203,190.0283,250.7949,309.6836,179.7166,173.0048,201.1306,51.8,59.6,52.45
"MYO5C",461.9418,294.8252,293.7735,332.1486,558.4514,181.2829,184.5479,249.05,190,244,172.6
"MYO6",297.6618,370.7989,294.2423,372.6891,358.5479,326.6938,262.2649,324.7157,98.2,114.2,141.2
"MYO7A",138.6005,156.9502,137.6783,168.3379,159.0285,168.5985,129.679,156.8149,42.4,56.3,43
"MYO7B",121.3799,152.119,123.9397,127.128,138.8348,121.7901,107.5029,143.118,36.4,45.8,46.7
"MYO9A",162.353,351.4511,323.2271,241.2131,273.6789,378.3149,442.7709,262.7515,335.4,350.9,250.4
"MYO9B",529.2079,383.8759,314.9807,380.4473,398.739,267.5634,422.869,334.9099,154.7,205.6,151.9
"MYOC",121.923,142.9147,112.1012,123.537,139.5809,144.6766,116.8475,133.3609,93.5,161.35,47.3
"MYOCD",140.3386,152.6115,146.3956,151.9169,141.0959,122.8292,117.8713,133.3015,56.9,54.9,55.4
"MYOD1",121.1381,157.9217,128.6015,145.8272,151.4334,138.5912,110.4701,164.9194,44.8,44.1,36.6
"MYOG",160.2167,188.4465,170.3391,166.916,160.8277,150.9108,134.9634,175.3519,36.4,37,36.7
"MYOHD1",109.4069,141.6314,120.2235,117.9466,128.9207,112.0624,127.4552,124.7227,44.8,42.7,45
"MYOM1",166.9669,174.1171,178.0521,196.0869,206.9964,144.7708,114.4541,160.924,525.6,659.5,389.2
"MYOM2",138.702,183.0103,141.4563,144.7283,196.577,145.0133,135.8543,161.4766,137.9,135.8,61.8
"MYOM3",109.0789,130.0315,95.44489,125.5198,117.559,139.8088,139.858,122.2139,42.3,50.8,48.6
"MYOT",127.9286,152.3091,116.7193,117.9555,122.822,107.7696,112.4361,119.7171,65.2,73.7,55
"MYOZ1",143.8023,162.0023,122.2379,127.764,146.252,138.2314,127.2568,140.4686,40.2,39.2,36.4
"MYOZ2",129.2847,175.1833,144.679,142.0065,148.8425,147.8561,122.3934,158.668,40.6,40,42
"MYOZ3",129.4211,162.119,140.5916,141.2463,131.1955,129.3521,112.3727,139.4772,70,80.7,47.3
"MYPN",153.2594,175.7563,141.9913,156.0862,153.7905,129.0489,105.6496,152.5787,37.8,39.75,42
"MYRIP",149.8131,171.4281,143.5791,146.0581,144.4805,136.2658,116.9703,147.2043,41.175,49.65,42.3
"MYSM1",132.0564,167.3464,125.9346,135.9987,134.1104,134.1224,105.7549,150.0507,38.9,39.7,39.6
"MYST1",253.6492,202.4412,246.7972,213.5855,272.0229,215.9448,213.0382,214.218,198.5,222,140.3
"MYST2",163.4575,180.5239,168.1027,166.5331,174.9235,148.2729,178.5013,170.0436,63.7,55.3,45.9
"MYST3",729.0381,1166.168,549.4261,702.9959,650.3527,352.7187,117.3201,567.5096,569.2,631.3,462.3
"MYST4",124.5298,143.3143,150.5461,148.2514,137.794,117.0879,138.6087,145.32,53.6,66.2,40.2
"MYT1",122.166,513.5621,167.7797,135.0292,173.9602,124.9038,332.7036,661.592,39.7,38.9,35.6
"MYT1L",127.7855,141.9898,129.7634,121.4947,126.4179,111.9517,105.4987,128.4876,41.5,46.05,40
"MZF1",449.5344,444.4807,559.9716,496.2157,749.1954,284.6515,508.3041,450.5319,214.5,232.4,185.2
"N-PAC",353.8471,321.5466,324.1147,588.5485,575.7162,462.1927,466.3492,435.5272,214.4,311.8,216.8
"N4BP1",229.4709,268.872,224.438,249.04,301.7758,183.8182,301.3536,229.8386,112.6,103.05,76.4
"N4BP2",431.3888,2086.438,986.455,1514.114,1399.708,951.3024,2730.496,1098.206,319.7,421.3,304.6
"N4BP2L1",119.7017,170.4252,194.2179,166.9521,182.3098,138.5353,153.094,191.5968,66.6333,64.3667,69.3
"N4BP3",104.7288,121.3875,112.4946,110.8503,114.4952,104.6771,102.1644,109.943,45.1,44.7,42.8
