SYMBOL	Normal_A1209_16.CEL	Normal_A1209_17.CEL	Normal_A1209_18.CEL	Normal_A1209_19.CEL	Tumour_A1209_02.CEL	Tumour_A1209_06.CEL	Tumour_A1209_10.CEL	Tumour_A1209_14.CEL
ABCB4	33.35748072	31.99752977	30.44726534	30.63963681	28.98872551	25.39445399	26.62787701	22.15405286
ABCB5	14.76086088	15.19381921	18.4607547	18.98218058	19.26560888	17.9907573	14.93722864	19.96875407
ABCB6	91.41628986	98.47859807	87.79319949	86.01490614	77.44300071	139.6844736	107.5147168	102.8938121
ABCB7	367.8488381	365.1490674	331.6332695	292.4347201	279.1151539	334.3177698	353.9607258	357.0140069
ABCB8	70.78769412	70.00541403	60.86903023	29.66080207	28.46420569	19.74114196	54.89582142	46.88192435
ABCB9	52.71009275	53.77918657	53.5282701	51.39690097	52.59152824	55.36630218	51.39461203	46.09101059
ABCC1	252.8499743	202.5800506	200.498914	207.3718966	349.9784163	443.0287144	393.0341466	380.4615928
ABCC10	146.4822686	142.1876572	137.7955915	139.6671984	139.4678455	130.1015464	141.6218715	125.8823133
ABCC11	40.62384889	34.33902876	43.16414561	46.87967609	43.65990156	42.23455397	33.91456073	34.23534789
ABCC12	17.21073934	20.33801433	22.07199602	28.03994634	27.03877601	23.59722318	19.69403249	23.76761042
ABCC13	19.28636922	16.91847499	19.24791476	23.08730564	22.74794271	20.50220466	16.97890489	17.75835564
ABCC2	58.12541051	50.07675805	36.83743135	38.04271015	44.66487403	53.10113368	37.07309052	50.81117512
ABCC3	196.3250404	184.7663127	207.668936	265.0215204	157.3646356	146.5320305	140.885909	145.6739318
ABCC4	151.0766943	215.7768674	180.9744194	161.5665958	81.85940008	104.2119768	89.54836516	113.8128811
ABCC5	139.2083577	198.9022064	137.0343965	108.426913	122.4187441	140.8113906	130.7917465	168.7743684
ABCC6	54.15754374	47.45906065	59.66108159	59.77286543	68.86296857	67.38451408	51.48280497	45.48073407
ABCC8	55.59075051	48.64805233	63.73927217	57.08817239	70.06943874	53.91648721	59.49004637	57.52745169
ABCC9	43.7076919	21.9396581	28.74811804	29.3052397	22.1801912	18.37187237	18.68147144	17.71210641
ABCD1	67.48472701	72.38967605	70.15246427	59.78840174	74.12771039	78.79556518	68.99624175	68.19825193
ABCD2	18.29813234	17.75848299	19.83462584	20.47738887	26.46436075	19.48014201	21.40306644	21.97661582
ABCD3	610.0338625	673.6349229	647.1380569	746.2248189	582.52916	617.627712	589.5788884	608.2596428
ABCD4	177.0038306	171.6702214	143.9683958	148.6148348	133.5228066	139.091184	135.6894575	129.364816
ABCE1	359.0987715	369.6525827	359.2480612	403.9551142	649.7222307	708.2697381	706.4131346	638.1916207
ABCF1	346.0989483	326.3684111	302.9203204	287.560011	395.8049091	414.0681142	448.5246637	407.5710652
ABCF2	202.8268505	200.1853602	151.0466205	157.2073292	274.1886278	346.4227951	241.4729833	306.3421433
ABCF3	226.8330542	202.3537383	198.1466078	191.2102788	181.0744055	222.6819358	240.295226	234.8850953
ABCG1	96.2887537	98.07486139	101.4356279	76.34426248	194.6950014	231.2406181	198.8809051	217.3989995
ABCG2	25.96236979	29.25874977	27.07585127	20.09953978	27.43040056	32.77318737	27.73087025	28.51394921
ABCG4	62.18732096	58.6541618	65.52166827	70.3028611	220.6795144	277.8988631	223.36536	296.8552832
ABCG5	38.69769967	35.84591246	39.77004358	44.61169951	52.48685038	48.40013442	44.22870842	44.08067458
ABCG8	43.05888606	41.41218454	48.20166208	52.57481515	50.06457473	43.87119567	46.63008579	39.97823104
ABHD1	40.14339471	60.63975834	52.23687895	65.13535646	72.81678209	57.56313719	51.02593543	45.28429221
ABHD10	212.8935914	196.5765347	197.1527013	153.7893918	115.4089153	118.0057274	133.6931508	156.2154587
ABHD11	216.8528832	223.8573472	197.1664392	213.0282687	125.2990776	114.4195135	158.1494969	121.0683492
ABHD12	350.0533701	422.2758998	344.5249251	305.8678758	320.4021435	366.6636611	320.3118712	374.3075507
ABHD12B	410.6343294	590.3706961	296.0729498	295.107509	470.694002	262.8569258	358.5687546	413.6951305
ABHD13	626.9929934	629.8282265	698.2394696	693.4033754	575.225422	628.6785435	597.8543146	642.6783722
ABHD14A	251.3689672	207.6951968	228.6707542	246.819031	340.9307619	305.6352058	341.4259404	331.2908948
ABHD14B	200.6952496	189.5548998	201.9312174	205.6912215	198.9226134	183.9066635	213.7876738	206.0239913
ABHD15	108.3203811	94.19290399	113.2608234	105.7851349	116.4792022	113.8082733	101.359278	82.42296074
ABHD16A	175.0431623	163.7414063	160.335528	162.0595718	177.5485774	182.0970875	180.5300061	180.7139036
ABHD16B	91.38052941	82.53234074	107.9687808	98.80236902	103.5557903	88.51434203	86.67410987	65.65283595
ABHD17A	404.1533612	403.8063295	416.2625182	408.562691	420.1826399	419.3053375	401.0678769	411.9348083
ABHD17B	188.213658	248.145467	209.3931889	205.8247894	253.0388941	290.6375702	284.5385533	298.394968
ABHD17C	318.7608928	348.4499154	361.8730513	333.2777507	578.7831015	674.5532535	654.3361089	676.3487345
ABHD2	213.5754791	198.4366259	218.719505	176.8790783	122.3925934	139.9168718	166.2176672	140.8973927
ABHD3	135.4097059	152.6992511	105.8373777	93.57987494	86.77374681	91.51719333	79.62338957	112.9592636
ABHD4	316.6031225	385.792072	310.7634224	252.2529022	315.2270333	290.2995325	378.3101878	338.8509657
ABHD5	1226.448295	1192.766826	1070.919996	1050.302284	1593.299003	1912.422447	1650.3549	1698.37825
ABHD6	463.6946547	617.2862254	547.8981665	503.2446428	314.9568032	283.4354446	353.5152236	341.9486212
ABHD8	160.0003304	152.1350427	154.8714662	141.3361589	185.6337032	169.6425726	145.5209752	189.5558148
ABI1	663.4436414	729.0440115	664.3218167	711.1187351	445.9445396	588.4298602	596.7626584	612.2889914
ABI2	197.5856865	201.125836	185.8730431	218.2497089	111.1662757	129.1070708	131.0498865	125.6267639
ABI3	104.505958	129.5640607	135.7853031	116.3655002	115.0147191	87.32617959	82.5588327	82.83565032
ABI3BP	97.58254429	153.4620664	218.8538056	207.4576986	45.69323815	67.07109759	66.46498296	56.13889254
ABL1	196.674618	193.1985937	181.3994576	213.1979369	215.1485442	208.8725942	198.0854883	227.2107881
ABL2	113.5477105	105.3044758	107.8661231	123.0209854	117.3416587	143.5598429	147.4183089	162.3709882
ABLIM1	1043.787824	1126.504296	1057.610215	1123.790298	918.963869	964.3217192	1039.040752	982.5382963
ABLIM2	161.8124581	170.0131681	161.5816426	118.7227522	106.3307399	96.58703645	97.50549832	57.3419067
ABLIM3	85.93070935	89.69232848	79.34706723	72.8597675	70.96179626	62.3559032	73.03043275	69.49600216
ABO	135.0944215	160.8692521	139.029148	158.8917633	140.0310304	119.5256622	98.77913115	84.11383391
ABR	459.9605395	472.3767516	447.7819264	383.5616628	300.3295951	328.9875214	334.0044621	346.5627211
ABRA	30.17157751	36.60288882	28.44190704	28.95963459	35.59374973	29.59233193	28.49617053	25.74223675
ABRACL	125.7880594	161.1328083	102.5823084	89.99801554	138.3894455	167.9432018	164.8650787	152.9424621
ABT1	236.857186	227.8942248	239.9114529	209.4034284	213.2324758	216.8511893	237.1735958	256.9840435
ABTB1	136.7839474	127.076088	149.4632629	133.0620693	117.1972918	99.62004321	110.3533432	92.22812193
ABTB2	179.5470181	161.2858225	165.7409326	165.7603795	135.8869828	166.1480456	134.1107975	154.641365
ACAA1	119.0009451	113.1058081	120.7209745	105.2775911	179.0019315	180.2958942	211.7653458	210.3389176
