SYMBOL	Normal_A1209_16.CEL	Normal_A1209_17.CEL	Normal_A1209_18.CEL	Normal_A1209_19.CEL	Tumour_A1209_03.CEL	Tumour_A1209_07.CEL	Tumour_A1209_11.CEL
ACSF2	233.7040533	280.9085468	227.913052	142.2839816	158.1187012	157.8244332	176.6260483
ACSF3	83.93873684	94.35720989	92.55652687	84.85996687	89.10211985	87.03122875	66.21881894
ACSL1	772.684425	737.7659753	682.6243276	657.0163749	1593.348582	1629.753995	1432.692722
ACSL3	221.5769128	185.8642736	161.0490186	191.4947692	423.3091146	469.5513536	470.6206214
ACSL4	112.8524798	125.7617565	107.8153571	79.32694578	266.0030904	274.1361175	300.9690063
ACSL5	42.16950841	45.11304033	43.36125638	34.64756067	20.12546567	27.21046961	23.62617312
ACSL6	41.65917704	44.57524588	52.66472149	55.07976403	42.49595144	55.97839341	48.99796887
ACSM1	28.15496268	28.51138492	31.57727234	30.99183447	31.61491145	25.1296236	24.60345219
ACSM2A	22.94966528	21.14959797	29.09608221	32.79267745	26.02623517	26.08581376	34.76836414
ACSM2B	35.23484075	47.51806334	45.0813825	45.45905616	40.91160822	40.24106821	25.26777172
ACSM3	56.93612241	49.85091577	55.44083975	33.94238082	104.1201012	90.10187675	144.6643847
ACSM5	28.56694194	28.71796918	32.79424285	34.43298864	31.84840308	27.27399724	25.79662859
ACSM6	23.53548664	25.08596933	22.18018113	22.53068994	103.7442494	35.38605133	222.7740633
ACSS1	151.9798199	164.8809821	175.1719924	164.0346804	123.8048472	136.8799556	119.0640582
ACSS2	293.3352019	301.1133358	276.8989343	231.5168679	427.9022931	380.3267931	577.0718361
ACSS3	45.05036263	15.35529578	45.77416514	27.35711711	22.77866041	27.95208815	29.67791213
ACTA1	219.1426618	235.1407815	269.8442499	229.9343074	207.3855269	254.3354944	210.3565599
ACTA2	95.26130173	114.1563605	107.128003	110.5773167	96.29271338	108.1331716	75.20951428
ACTA2-AS1	56.99676278	61.49084915	59.25540407	52.4824161	54.53617483	55.57541686	53.75416266
ACTB	3518.867043	3184.193605	3141.020511	3159.302734	3330.868754	3553.269316	3277.55226
ACTBL2	14.22997867	13.10483012	13.67174183	18.32038052	14.55179268	20.70215268	18.04102965
