SYMBOL	Normal_A1209_16.CEL	Normal_A1209_17.CEL	Normal_A1209_18.CEL	Normal_A1209_19.CEL	Tumour_A1209_04.CEL	Tumour_A1209_08.CEL	Tumour_A1209_12.CEL	Tumour_A1209_15.CEL
ABCA7	107.8848261	118.1552513	121.8335689	114.5547596	130.1780396	115.4297121	132.9339051	139.4420516
ABCA8	18.32979108	24.41973045	14.82225474	16.59851806	11.70844116	12.38066511	12.55026479	13.18630621
ABCA9	30.40819241	37.77415795	34.10931303	29.96925961	15.73862679	17.12197319	17.34579144	22.58845657
ABCB1	28.40978998	25.72634397	24.15010783	27.67821848	20.55195657	27.5353752	24.55786799	24.13176213
ABCB10	90.20664926	104.3065963	105.4516172	93.07352268	176.7142305	141.5012352	159.6715134	118.977183
ABCB11	33.7805196	18.85076054	27.4999023	21.41167483	19.74192859	18.99650319	21.46226944	22.830596
ABCB4	33.35748072	31.99752977	30.44726534	30.63963681	22.00470561	29.93326352	28.00263617	22.74585853
ABCB5	14.76086088	15.19381921	18.4607547	18.98218058	18.24059726	19.93169222	15.20789157	19.1681597
ABCB6	91.41628986	98.47859807	87.79319949	86.01490614	102.3033786	78.85206085	91.37259505	94.02929083
ABCB7	367.8488381	365.1490674	331.6332695	292.4347201	386.4949363	367.4982266	371.5033953	343.5792591
ABCB8	70.78769412	70.00541403	60.86903023	29.66080207	90.04311216	87.64265044	88.35623681	74.53644222
ABCB9	52.71009275	53.77918657	53.5282701	51.39690097	70.37557725	67.20974821	68.44650412	61.4973734
ABCC1	252.8499743	202.5800506	200.498914	207.3718966	451.0796817	459.9682111	475.815041	435.606418
ABCC10	146.4822686	142.1876572	137.7955915	139.6671984	167.989309	171.6142087	168.3682184	166.947134
ABCC11	40.62384889	34.33902876	43.16414561	46.87967609	43.2542881	36.39365152	41.76904771	37.66911728
ABCC12	17.21073934	20.33801433	22.07199602	28.03994634	17.55933974	22.11982364	20.10947761	19.97753023
